species	species_name	mass.g	home.range	extant	loctype	pc	litter	diet.cat	shannon	simpson	abundance	longevity	activity	soc.complexity	gr.size	ges.days	interbirth.days	weaning.days	eqm	BMRres	afrotropic	australasia	indomalaya	neotropic	nearctic	palearctic
Acinonyx jubatus	Acinonyx_jubatus	0.684086368	0.932950913	1	sc	0.108927029	0.141025641	2	0.379223065	0.035977187	0	0.334285714	Diu	2	0.103891832	0.494910358	0.674715968	0.513017254	-0.087606987	0.090941323	1	0	0	0	0	0
Ailuropoda melanoleuca	Ailuropoda_melanoleuca	0.774291777	0.543659391	1	sc	NA	0.064102564	NA	NA	NA	0.100052494	0.8	Cath/Cre	1	0	0.616973025	0.747056672	0.746413633	0.310128075	0.096230435	0	0	1	0	0	1
Aonyx capensis	Aonyx_capensis	0.568216001	NA	1	a	0.553608858	0.256410256	NA	NA	NA	0.171043329	0.151428571	Cath/Cre	2	0	0.353215788	0.484437008	0.320323489	0.081988383	0.052609116	1	0	0	0	0	0
Arctictis binturong	Arctictis_binturong	0.531185137	0.519011047	1	a	NA	0.115384615	NA	NA	NA	0.226109504	NA	Noc	1	0	0.492871937	0.419157203	0.600416158	-0.326398566	-0.14385262	0	0	1	0	0	0
Arctodus simus	Arctodus_simus	1	NA	0	t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13724662	0	0	0	0	1	0
Arctonyx collaris	Arctonyx_collaris	0.506505377	NA	1	sf	NA	0.256410256	NA	NA	NA	0.342098513	NA	Noc	NA	NA	NA	NA	NA	0.350338862	0.035580513	0	0	1	0	0	0
Atilax paludinosus	Atilax_paludinosus	0.389979228	0.542832769	1	a	0	0.192307692	3	0.821119923	0.002107904	0.371166245	NA	Cath/Cre	1	0	0.41598991	0.159152976	0.188182881	-0.086175173	-0.081947921	1	0	0	0	0	0
Bassariscus astutus	Bassariscus_astutus	0.272379256	0.472407495	1	sc	0.29743553	0.256410256	4	0.730716908	0.007906807	0.420690649	0.291428571	Noc	1	0	0.285077922	0.484437008	0.322894743	0.048080723	-0.111989148	0	0	0	1	1	0
Brachyprotoma obtusata	Brachyprotoma_obtusata	0.190758653	NA	0	t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.038503352	0	0	0	0	1	0
Canis adustus	Canis_adustus	0.526302526	0.390277343	1	t	0.611853307	0.423076923	NA	NA	NA	0.48020941	0.285714286	Noc	NA	NA	NA	NA	NA	NA	0.042117062	1	0	0	0	0	0
Canis aureus	Canis_aureus	0.527912936	0.181933351	1	t	0.461668031	0.641025641	3	0.82504068	0.003115051	0.497237104	0.285714286	Cath/Cre	4	0.312349906	0.353275165	0.484437008	0.374161138	0.082498368	0.059058776	0	0	1	0	0	1
Canis dirus	Canis_dirus	0.732107176	NA	0	t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.047245807	0	0	0	0	1	0
Canis latrans	Canis_latrans	0.548200224	0.676444947	1	t	0.516131545	0.641025641	2	0.552321403	0.020856562	0.528128129	0.371428571	Cath/Cre	4	0.452520237	0.353275165	0.484437008	0.256664578	0.327646011	0.048100559	0	0	0	1	1	0
Canis lupus	Canis_lupus	0.688079714	0.632053196	1	t	0.508801224	0.641025641	1	0.70018341	0.011062935	0.542235301	0.337142857	Cath/Cre	6	0.600834624	0.353275165	0.484437008	0.265376883	0.251171707	0.068972026	1	1	1	1	1	1
Canis mesomelas	Canis_mesomelas	0.502392602	0.570752538	1	t	0.516131545	0.641025641	2	0.308607559	0.060780162	0.555579616	0.225714286	Diu	NA	NA	NA	NA	NA	NA	0.093688412	1	0	0	0	0	0
Caracal caracal	Caracal_caracal	0.544355416	0.59832958	1	sc	0.157551622	0.256410256	2	0.129167012	0.106533962	0.568239365	NA	Noc	1	0	0.41598991	0.484437008	0.608708483	-0.060910679	-0.023924134	1	0	0	0	0	1
Cerdocyon thous	Cerdocyon_thous	0.457276043	0.510365036	1	t	0.553608858	0.269230769	3	0.788344127	0.006049548	0.580281375	NA	Noc	4	0.214021611	0.309218508	0.294151619	0.431644021	0.142554644	-0.027504518	0	0	0	1	0	0
Civettictis civetta	Civettictis_civetta	0.563192835	0.321502936	1	t	NA	NA	1	0.657539488	0.015291986	0.60273448	0.548571429	Noc	1	0	0.395347472	0.229778714	0.479071885	-0.415218564	-0.022668646	1	0	0	0	0	0
Conepatus chinga	Conepatus_chinga	0.34576623	0.329454867	1	sf	NA	NA	5	0.471802958	0.030777408	0.613238857	NA	Noc	1	0	0.335025241	0.484437008	0.383664618	-0.411705523	-0.03056924	0	0	0	1	0	0
Conepatus leuconotus	Conepatus_leuconotus	0.407756532	0.335335069	1	t	0.836609457	0.256410256	NA	NA	NA	0.623314404	NA	Noc	1	0	0.392685188	0.159152976	0.271066026	-0.249653267	-0.03801506	0	0	0	1	1	0
Conepatus robustus	Conepatus_robustus	0.469182804	NA	0	t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.002894462	0	0	0	0	1	0
Crocuta crocuta	Crocuta_crocuta	0.733421526	0.800626493	1	t	0.722718632	0.128205128	2	0.079136945	0.133549868	0.651286025	0.922857143	Noc	7	1	0.569490276	0.573243791	1	0.235131075	0.032815582	1	0	1	0	0	1
Cuon alpinus	Cuon_alpinus	0.567359149	0.733840214	1	t	NA	0.512820513	2	0	1	0.659947277	0.208571429	Cath/Cre	6	0.622137409	0.353275165	0.484437008	0.350899732	0.382228115	0.074719916	0	0	1	0	0	1
Cynictis penicillata	Cynictis_penicillata	0.267829344	0.299281364	1	t	1	0.166666667	NA	NA	NA	0.6683149	0.182857143	Diu	6	0.386813012	0.309218508	0.484437008	0.240809293	0.044259207	-0.060506899	1	0	0	0	0	0
Dusicyon avus	Dusicyon_avus	0.557067733	NA	0	t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.040444902	0	0	0	1	0	0
Felis catus	Felis_catus	0.432031321	0.417034388	1	sc	NA	NA	NA	NA	NA	0.684244455	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1
Felis chaus	Felis_chaus	0.460449577	NA	1	sc	0.157551622	0.256410256	NA	NA	NA	0.691839627	0.32	Cath/Cre	1	0	0.362076731	0	0.528149671	-0.128273823	-0.049581611	0	0	1	0	0	1
Felis lybica	Felis_lybica	0.431828661	NA	1	sc	NA	NA	3	0.625463651	0.012653357	0.699208066	NA	Noc	NA	NA	NA	NA	NA	NA	-0.083613502	1	0	0	0	0	1
Felis nigripes	Felis_nigripes	0.330626194	0.605817342	1	sc	0.439942918	0.128205128	NA	NA	NA	0.706362917	0.194285714	Noc	NA	NA	NA	NA	NA	NA	-0.028423542	1	0	0	0	0	0
Felis silvestris	Felis_silvestris	0.440609407	0.579356874	1	sc	0.365683561	0.294871795	2	0.25201721	0.070037063	0.713316216	0.291428571	Cath/Cre	1	0	0.338129402	0.061611889	0.448884782	-0.134110422	-0.219788982	1	0	1	0	0	1
Genetta genetta	Genetta_genetta	0.333660385	0.45639856	1	a	NA	0.192307692	3	0.492487419	0.021390411	0.720079008	0.397142857	Noc	1	0	0.410935113	0.159152976	0.42908896	-0.344433816	-0.216300304	1	0	0	0	0	1
Genetta tigrina	Genetta_tigrina	0.335804037	NA	1	a	NA	NA	4	1	0.000671554	0.726661456	0.357142857	Noc	NA	NA	NA	NA	NA	NA	-0.045741739	1	0	0	0	0	0
Gulo gulo	Gulo_gulo	0.558556232	0.852570203	1	sc	0.716325669	0.230769231	2	0.154332209	0.086550199	0.733072928	0.305714286	Noc	1	0	0.857443813	0.864994929	0.482117386	0.323066171	0.122580535	0	0	0	0	1	1
Herpailurus yagouaroundi	Herpailurus_yagouaroundi	0.47302737	0.642379783	1	sc	0	0.115384615	2	0.48506417	0.028923933	0.739322083	NA	Cath/Cre	1	0	0.405811071	0.159152976	0.292504472	0.061878719	-0.03728178	0	0	0	1	1	0
Herpestes ichneumon	Herpestes_ichneumon	0.392358176	0.552882944	1	t	0.622747658	NA	3	0.875461199	0.002978267	0.745416937	NA	Cath/Cre	2	0	0.335025241	0.484437008	0.355475001	-0.173919886	-0.153843452	1	0	0	0	0	1
Herpestes pulverulentus	Herpestes_pulverulentus	0.25200319	NA	1	t	NA	NA	NA	NA	NA	0.751364927	NA	Cath/Cre	NA	NA	NA	NA	NA	NA	-0.088272564	1	0	0	0	0	0
Herpestes sanguineus	Herpestes_sanguineus	0.194890045	NA	1	sc	NA	NA	NA	NA	NA	0.757172965	0.108571429	Diu	NA	NA	NA	NA	NA	NA	-0.040885002	1	0	0	0	0	0
Hyaena hyaena	Hyaena_hyaena	0.648343328	0.768287207	1	t	0.663204059	0.179487179	3	0.739113765	0.005165053	0.762847487	0.462857143	Cath/Cre	2	0.257175615	0.488761465	0.282276763	0.604411835	0.083396064	0.042245081	1	0	1	0	0	1
Ichneumia albicauda	Ichneumia_albicauda	0.41177352	0.300166313	1	t	0.663115137	NA	NA	NA	NA	0.768394492	NA	Noc	1	0	0.335025241	0.484437008	0.889252319	-0.06118301	-0.086221338	1	0	0	0	0	1
Ictonyx striatus	Ictonyx_striatus	0.247320701	NA	1	sf	0.57643898	0.166666667	NA	NA	NA	0.773819588	NA	Noc	NA	NA	NA	NA	NA	-0.053263706	-0.046312406	1	0	0	0	0	0
Leopardus pardalis	Leopardus_pardalis	0.508731144	0.645347013	1	sc	0	0.064102564	2	0.585012229	0.019623721	0.779128018	0.554285714	Cath/Cre	1	0	0.444963039	0.47913575	0.565015282	0.122115283	0.056361418	0	0	0	1	1	0
Leopardus wiedii	Leopardus_wiedii	0.370343528	0.512614116	1	a	0.157551622	0	2	0.505693338	0.025309251	0.789414224	NA	Noc	NA	NA	NA	NA	NA	0.532083915	-0.03900151	0	0	0	1	1	0
Leptailurus serval	Leptailurus_serval	0.532530474	NA	1	t	0.157551622	0.179487179	2	0.203854004	0.080387721	0.799288911	0.388571429	Cath/Cre	1	0	0.41347105	0.159152976	0.560072378	-0.047724706	0.034926284	1	0	0	0	0	0
Lontra canadensis	Lontra_canadensis	0.49139922	NA	1	sa	0.757677427	0.256410256	3	0.56713545	0.016866501	0.804081974	0.505714286	Cath/Cre	4	0.83615902	0.34729025	0.484437008	0.612296468	0.085047403	0.03364662	0	0	0	0	1	0
Lutra lutra	Lutra_lutra	0.475634534	NA	1	sa	0.630591964	0.192307692	3	0.582700293	0.014190582	0.808783743	0.268571429	Noc	2	0	0.344261494	0.484437008	0.546950634	0.220571986	0.147561188	0	0	1	0	0	1
Lycalopex culpaeus	Lycalopex_culpaeus	0.504547326	NA	1	t	NA	NA	2	0.507806078	0.024763574	0.817926868	NA	Noc	NA	NA	NA	NA	NA	NA	-0.016850835	0	0	0	1	0	0
Lycalopex griseus	Lycalopex_griseus	0.382484048	NA	1	t	NA	NA	3	0.445095248	0.022514371	NA	NA	Cath/Cre	4	0.282921181	0.305863784	0.484437008	0.748387913	0.450233507	0.001840164	0	0	0	1	0	0
Lycalopex gymnocercus	Lycalopex_gymnocercus	0.465444698	0.367850702	1	t	NA	NA	4	0.752032747	0.005640372	0.831036352	NA	Noc	NA	NA	NA	NA	NA	NA	-0.011795252	0	0	0	1	0	0
Lycalopex sechurae	Lycalopex_sechurae	0.435062636	NA	1	t	NA	NA	NA	NA	NA	NA	NA	Noc	NA	NA	NA	NA	NA	NA	-0.007686545	0	0	0	1	0	0
Lycaon pictus	Lycaon_pictus	0.631695212	0.998449036	1	t	NA	1	2	0.017826484	0.239470861	0.839404554	0.18	Diu	6	0.642064834	0.403222484	0.47254913	0.092885426	0.59308381	0.062248823	1	0	0	0	0	0
Lynx canadensis	Lynx_canadensis	0.525980781	NA	1	t	0	0.320512821	NA	NA	NA	0.84348463	0.514285714	Noc	1	0	0.355642574	0.484437008	0.581563473	0.163517286	0.022466134	0	0	0	0	1	0
Lynx lynx	Lynx_lynx	0.581887119	0.911662835	1	sc	0	0.166666667	2	0.07767872	0.134853781	0.847498366	0.425714286	Cath/Cre	1	0	0.392685188	0.484437008	0.474601573	0.074538715	0.000690895	0	0	0	0	1	1
Lynx pardinus	Lynx_pardinus	0.53939248	NA	1	sc	0	0.256410256	2	0.206413606	0.072405607	NA	NA	Cath/Cre	NA	NA	NA	NA	NA	NA	0.016268924	0	0	0	0	0	1
Lynx rufus	Lynx_rufus	0.517182566	0.600498299	1	sc	0.155818896	0.192307692	2	0.163189496	0.082900391	0.855335213	0.671428571	Cath/Cre	1	0	0.34729025	0.484437008	0.366656307	0.2810245	0.100697975	0	0	0	1	1	0
Martes americana	Martes_americana	0.2720794	NA	1	sr	0.230753793	0.205128205	2	0.387023071	0.040661209	0.859162275	NA	Cath/Cre	1	0	0.865077736	0.484437008	0.272359936	0.217845706	-0.020960095	0	0	0	0	1	0
Martes caurina	Martes_caurina	0.26342309	NA	1	sr	NA	NA	3	0.625883863	0.012396438	NA	NA	Cath/Cre	NA	NA	NA	NA	NA	NA	-0.077736375	0	0	0	0	1	0
Martes flavigula	Martes_flavigula	0.390578843	0.566633802	1	sc	NA	0.192307692	4	0.731483893	0.008047453	0.866642881	NA	Diu	4	0.214021611	0.876244215	0.159152976	0.505604339	0.129549713	-0.002072252	0	0	1	0	0	1
Martes foina	Martes_foina	0.310740258	0.437835652	1	sc	0.230753793	0.320512821	4	0.660177262	0.007481861	0.870299861	0.268571429	Cath/Cre	1	0	0.872558971	0.484437008	0.440090184	0.256032227	-0.021520046	0	0	0	0	0	1
Martes martes	Martes_martes	0.32161335	0.379972074	1	sr	0.230753793	0.294871795	4	0.839208828	0.002652597	0.873903458	0.268571429	Noc	1	0	0.872558971	0.484437008	0.331330695	0.228048974	-0.039688203	0	0	0	0	0	1
