"","species","species_name","extant","IUCN.status","mass.g","BMR","eq","abundance","density","home.range","loctype","diet.cat","shannon","simpson","activity","soc.complexity","gr.size","ges.days","interbirth.days","weaning.days","longevity","litter","Afrotropic","Indomalaya","Nearctic","Neotropic","Palearctic","Lat","georange"
"Acinonyx_jubatus","Acinonyx jubatus","Acinonyx_jubatus",1,"Vulnerable",41580.05916,8621.686002,-0.087606987,0.006752954,0.009,343.2792575,"sc",2,0.379223065,0.035977187,"Diu",1,1.4,92,547.5,91.42,20.5,2.1,1,0,0,0,0,-27.616676,10586306.53
"Canis_dirus","Aenocyon dirus","Canis_dirus",0,"Extinct",NA,8496.009943,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,33.6480635,NA
"Ailuropoda_melanoleuca","Ailuropoda melanoleuca","Ailuropoda_melanoleuca",1,"Vulnerable",95800,13769.06309,0.310128075,0.017473861,NA,7.1155518,"sc",NA,NA,NA,"Cath/Cre",0,1,127.5,638.75,178.98,36.8,1.5,0,1,0,0,0,20.361677,36206.89
"Aonyx_capensis","Aonyx capensis","Aonyx_capensis",1,"Near Threatened",14403.2592,3951.112523,0.081988383,0.001080043,NA,NA,"a",NA,NA,NA,"Cath/Cre",1,1,62.99,365,52.5,14.1,3,1,0,0,0,0,-27.616676,14162350.57
"Arctictis_binturong","Arctictis binturong","Arctictis_binturong",1,"Vulnerable",10246.80808,1082.67,-0.326398566,0.000355308,NA,5.566985927,"a",NA,NA,NA,"Noc",0,1,91.5,317.6,117.57,NA,1.9,0,1,0,0,0,19.516678,2913838.88
"Arctodus_simus","Arctodus simus","Arctodus_simus",0,"Extinct",NA,52009.48867,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,34.062786,NA
"Arctonyx_collaris","Arctonyx collaris","Arctonyx_collaris",1,"Vulnerable",NA,2658.191127,0.350338862,0.002556455,NA,NA,"sf",NA,NA,NA,"Noc",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,20.62001,NA
"Atilax_paludinosus","Atilax paludinosus","Atilax_paludinosus",1,"Least Concern",2804.394522,774.7810554,-0.086175173,0.009950412,NA,7.057225035,"a",1,0.821119923,0.002107904,"Cath/Cre",0,1,74.5,182.5,35.89,NA,2.5,1,0,0,0,0,-27.616676,14296320.45
"Bassariscus_astutus","Bassariscus astutus","Bassariscus_astutus",1,"Least Concern",948.6832981,369.0523278,0.048080723,0.008816053,NA,3.500171424,"sc",1,0.730716908,0.007906807,"Noc",0,1,52.5,365,52.89,19,3,0,0,1,0,0,31.610001,3916072.44
"Bassariscus_sumichrasti","Bassariscus sumichrasti","Bassariscus_sumichrasti",1,"Least Concern",948.6832981,NA,0.554757891,NA,NA,NA,"a",NA,NA,NA,"Noc",0,1,64,365,119.32,23,1,0,0,0,1,0,16.650009,625977.74
"Brachyprotoma_obtusata","Brachyprotoma obtusata","Brachyprotoma_obtusata",0,"Extinct",NA,376.7015776,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,39.48,NA
"Canis_adustus","Canis adustus","Canis_adustus",1,"Least Concern",9796.958973,3037.059301,NA,0.007565045,0.0225,1.545,"t",NA,NA,NA,"Noc",NA,NA,NA,NA,NA,18.8,4.3,1,0,0,0,0,6.5833335,NA
"Canis_aureus","Canis aureus","Canis_aureus",1,"Least Concern",9943.104382,3369.745717,0.082498368,0.037167628,0.373647059,0.194076446,"t",5,0.82504068,0.003115051,"Cath/Cre",3,2.75,63,365,61.3,18.8,6,0,1,0,0,1,33.939999,25739527.43
"Canis_latrans","Canis latrans","Canis_latrans",1,"Least Concern",11982.11516,3494.527223,0.327646011,0.024528539,0.0802,26.69450756,"t",5,0.552321403,0.020856562,"Cath/Cre",3,4.33,63,365,43.71,21.8,6,0,0,1,0,0,36.728338,17099094.3
"Canis_lupus","Canis lupus","Canis_lupus",1,"Least Concern",43361.29745,7760.330008,0.251171707,0.016257293,0.111262675,17.15756843,"t",5,0.70018341,0.011062935,"Cath/Cre",5,7,63,365,44.82,20.6,6,1,1,1,1,1,39.3483395,50803439.7
"Canis_mesomelas","Canis mesomelas","Canis_mesomelas",1,"Least Concern",7863.462837,3623.239998,NA,0.067348318,0.639,9.318998921,"t",2,0.308607559,0.060780162,"Diu",NA,NA,NA,NA,NA,16.7,6,1,0,0,0,0,-29.766678,NA
"Canis_mosbachensis","Canis mosbachensis","Canis_mosbachensis",0,"Extinct",12701.15682,NA,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,38.681679,NA
"Caracal_caracal","Caracal caracal","Caracal_caracal",1,"Least Concern",11565.92431,2279.285911,-0.060910679,0.013535697,0.18199906,12.26372731,"sc",2,0.129167012,0.106533962,"Noc",0,1,74.5,365,120.41,NA,3,1,0,0,0,1,-29.766678,26609096.78
"Catopuma_temminckii","Catopuma temminckii","Catopuma_temminckii",1,"Near Threatened",10327.14869,NA,0.558383595,NA,NA,52.49285666,"t",2,NA,NA,"Noc",0,1,79,365,180,18,2,0,1,0,0,0,20.361677,3437288.13
"Cerdocyon_thous","Cerdocyon thous","Cerdocyon_thous",1,"Least Concern",5193.423609,1463.157999,0.142554644,0.016933597,0.78,5.107773257,"t",1,0.788344127,0.006049548,"Noc",3,2,56,243.33,72.33,NA,3.1,0,0,0,1,0,-9.957223,7091683.41
"Civettictis_civetta","Civettictis civetta","Civettictis_civetta",1,"Least Concern",13753.15057,2515.521966,-0.415218564,0.011718306,NA,0.778973684,"t",6,0.657539488,0.015291986,"Noc",0,1,70.5,212.14,82.91,28,2.5,1,0,0,0,0,2.512639,14207678.6
"Conepatus_chinga","Conepatus chinga","Conepatus_chinga",1,"Least Concern",1862.821191,836.6056842,-0.411705523,0.006942691,NA,0.843159707,"sf",3,0.471802958,0.030777408,"Noc",0,1,60,365,63,NA,NA,0,0,0,1,0,-17.5933285,3247304.52
