Acinonyx jubatus
Aepyceros melampus
Ailuropoda melanoleuca
Ailurus fulgens
Alcelaphus buselaphus
Alces alces
Alopex lagopus
Ammotragus lervia
Antidorcas marsupialis
Antilocapra americana
Antilope cervicapra
Aonyx capensis
Aonyx cinereus
Arctictis binturong
Arctogalidia trivirgata
Arctonyx collaris
Atelocynus microtis
Atilax paludinosus
Axis axis
Axis porcinus
Bassariscus astutus
Bdeogale crassicauda
Bison bison
Blastocerus dichotomus
Bos frontalis
Bos grunniens
Bos javanicus
Bos mutus
Bos sauveli
Bos taurus
Boselaphus tragocamelus
Bubalus arnee
Bubalus bubalis
Budorcas taxicolor
Cabassous tatouay
Cabassous unicinctus
Camelus ferus
Canis adustus
Canis aureus
Canis latrans
Canis lupus
Canis mesomelas
Capra aegagrus
Capra caucasica
Capra ibex
Capra nubiana
Capra pyrenaica
Capreolus capreolus
Capreolus pygargus
Capricornis rubidus
Capricornis sumatraensis
Capricornis swinhoei
Caracal aurata
Caracal caracal
Catagonus wagneri
Catopuma badia
Catopuma temminckii
Cephalophus callipygus
Cephalophus harveyi
Cephalophus leucogaster
Cephalophus natalensis
Cephalophus nigrifrons
Cephalophus rufilatus
Cephalophus silvicultor
Cephalophus spadix
Cephalophus weynsi
Ceratotherium simum
Cerdocyon thous
Cervus albirostris
Cervus elaphus
Cervus hanglu
Cervus nippon
Chaetophractus villosus
Chrysocyon brachyurus
Civettictis civetta
Conepatus amazonicus
Conepatus chinga
Conepatus leuconotus
Conepatus semistriatus
Connochaetes taurinus
Crocuta crocuta
Cuon alpinus
Cynictis penicillata
Cynogale bennettii
Dama dama
Dama mesopotamica
Damaliscus dorcas
Damaliscus lunatus
Damaliscus pygargus
Dasypus hybridus
Dasypus kappleri
Dasypus novemcinctus
Dendrohyrax arboreus
Dicerorhinus sumatrensis
Diceros bicornis
Diplogale hosei
Eira barbara
Elaphodus cephalophus
Elephas maximus
Equus africanus
Equus ferus
Equus hemionus
Equus kiang
Equus quagga
Equus zebra
Eudorcas rufifrons
Eudorcas thomsonii
Euphractus sexcinctus
Felis catus
Felis chaus
Felis lybica
Felis nigripes
Felis silvestris
Galerella pulverulenta
Galerella sanguinea
Galictis cuja
Galictis vittata
Gazella bennettii
Gazella cuvieri
Gazella dorcas
Gazella gazella
Gazella subgutturosa
Genetta angolensis
Genetta genetta
Genetta maculata
Genetta pardina
Genetta servalina
Genetta tigrina
Giraffa camelopardalis
Gulo gulo
Helarctos malayanus
Helogale parvula
Hemigalus derbyanus
Hemitragus jemlahicus
Herpailurus yagouaroundi
Herpestes brachyurus
Herpestes edwardsii
Herpestes ichneumon
Herpestes javanicus
Herpestes naso
Herpestes pulverulentus
Herpestes sanguineus
Herpestes semitorquatus
Herpestes smithii
Herpestes urva
Herpestes vitticollis
Heterohyrax brucei
Hippocamelus bisulcus
Hippopotamus amphibius
Hippotragus equinus
Hippotragus niger
Hyaena hyaena
Hydrictis maculicollis
Hyemoschus aquaticus
Hylochoerus meinertzhageni
Ichneumia albicauda
Ictonyx striatus
Kobus ellipsiprymnus
Kobus kob
Kobus leche
Lagorchestes conspicillatus
Lama guanicoe
Leopardus colocolo
Leopardus emiliae
Leopardus geoffroyi
Leopardus guigna
Leopardus guttulus
Leopardus pardalis
Leopardus wiedii
Leptailurus serval
Lontra canadensis
Lontra longicaudis
