Antidorcas bondi
Arctodus simus
Bison antiquus
Bison exiguus
Bison latifrons
Bison occidentalis
Bison priscus
Bootherium bombifrons
Bos baikalensis
Bos primigenius
Brachyprotoma obtusata
Camelops hesternus
Canis dirus
Capromeryx minor
Catonyx cuvieri
Cervalces scotti
Cervus grayi
Coelodonta antiquitatis
Conepatus robustus
Cuvieronius hyodon
Cuvieronius tropicus
Damaliscus hypsodon
Dasypus bellus
Dicerorhinus mercki
Doedicurus clavicaudatus
Dusicyon avus
Equus capensis
Equus complicatus
Equus conversidens
Equus hydruntinus
Equus lambei
Equus leidyi
Equus mexicanus
Equus neogeus
Equus niobrarensis
Equus occidentalis
Equus scotti
Eremotherium laurillardi
Eutatus seguini
Glossotherium tropicorum
Glyptodon clavipes
Glyptotherium floridanum
Haringtonhippus francisci
Hemiauchenia macrocephala
Hemiauchenia paradoxa
Hippidion principale
Hippidion saldiasi
Holmesina occidentalis
Holmesina paulacoutoi
Holmesina septentrionalis
Lama gracilis
Mammut americanum
Mammuthus columbi
Mammuthus primigenius
Megaloceros giganteus
Megalonyx jeffersonii
Megalotragus priscus
Megatherium americanum
Miracinonyx trumani
Mixotoxodon larensis
Mylohyus fossilis
Mylohyus nasutus
Navahoceros fricki
Nothrotheriops shastense
Notiomastodon platensis
Odocoileus salinae
Pachyarmatherium brasiliense
Palaeolama major
Palaeolama mirifica
Palaeoloxodon antiquus
Palaeoloxodon naumanni
Pampatherium humboldti
Pampatherium typum
Panochthus greslebini
Panthera atrox
Panthera spelaea
Paramylodon harlani
Platygonus compressus
Platygonus vetus
Procoptodon browneorum
Propraopus sulcatus
Protemnodon brehus
Rhinoceros sinensis
Sclerocalyptus evidens
Sclerocalyptus heusseri
Simosthenurus gilli
Simosthenurus maddocki
Simosthenurus occidentalis
Sinomegaceros yabei
Smilodon fatalis
Smilodon populator
Stegodon orientalis
Stephanorhinus hemitoechus
Sthenurus andersoni
Stockoceros onusrosagris
Tapirus augustus
Tapirus californicus
Tapirus copei
Tapirus veroensis
Thylacinus cynocephalus
Thylacoleo carnifex
Toxodon gracilis
Toxodon platensis
Tremarctos floridanus
Ursus spelaeus
Xenorhinotherium bahiense
Zygomaturus trilobus
