Variable,No,Run1
Body mass,0.305794573,raw
BMR,0.000231088,raw
EQ,0.500738356,raw
Abundance,0.580229165,raw
Population density,0.565033829,raw
Home range,0.549115913,raw
Diet: Shannon index,0.625673075,raw
Diet: Simpson index,0.576273314,raw
Group size,0.169873359,raw
Gestation length,0.556811881,raw
Interbirth interval,0.511422805,raw
Weaning age,0.572603161,raw
Longevity,0.403679342,raw
Litter size,0.429331485,raw
Region: Afrotropic,0.041166522,raw
Region: Indomalaya,0.142880622,raw
Region: Nearctic,0.252766097,raw
Region: Neotropic,0.507473134,raw
Region: Palearctic,0.930403272,raw
Latitude,0.448214848,raw
Locomotion: Arboreal,0.86046121,raw
Locomotion: Semi-aquatic,0.287783606,raw
Locomotion: Scansorial,0.087678719,raw
Locomotion: Semi-fossorial,0.538539321,raw
Locomotion: Semi-arboreal,0.870789502,raw
Locomotion: Terrestrial,0.034229537,raw
Diet category 1,0.593293192,raw
Diet category 2,0.551734303,raw
Diet category 3,0.294790147,raw
Diet category 4,0.440636025,raw
Diet category 5,0.22880576,raw
Activity: Cathemeral/Crepuscular,0.163870392,raw
Activity: Diurnal,0.000362012,raw
Activity: Nocturnal,0.035535404,raw
Social complexity: Solitary,0.086177691,raw
Social complexity: Class 1,0.599976536,raw
Social complexity: Class 2,0.634874443,raw
Social complexity: Class 3,0.371949899,raw
Social complexity: Pair-living,0.777939979,raw
Social complexity: Familial group,0.021210428,raw
Social complexity: Extended group,0.758152447,raw
Body mass,0.573058134,phylo1
BMR,0.001726628,phylo1
EQ,0.539912017,phylo1
Abundance,0.627212465,phylo1
Population density,0.588022516,phylo1
Home range,0.566675428,phylo1
Diet: Shannon index,0.628393956,phylo1
Diet: Simpson index,0.621376066,phylo1
Group size,0.15387239,phylo1
Gestation length,0.548927154,phylo1
Interbirth interval,0.453092591,phylo1
Weaning age,0.554935508,phylo1
Longevity,0.400250158,phylo1
Litter size,0.433282092,phylo1
Region: Afrotropic,0.047767292,phylo1
Region: Indomalaya,0.220347998,phylo1
Region: Nearctic,0.351746246,phylo1
Region: Neotropic,0.817620593,phylo1
Region: Palearctic,0.818336371,phylo1
Latitude,0.787479095,phylo1
Locomotion: Arboreal,0.787186022,phylo1
Locomotion: Semi-aquatic,0.331993939,phylo1
Locomotion: Scansorial,0.098418127,phylo1
Locomotion: Semi-fossorial,0.690543716,phylo1
Locomotion: Semi-arboreal,0.633214417,phylo1
Locomotion: Terrestrial,0.039438533,phylo1
Diet category 1,0.594616881,phylo1
Diet category 2,0.486413255,phylo1
Diet category 3,0.411206355,phylo1
Diet category 4,0.418712333,phylo1
Diet category 5,0.405278337,phylo1
Activity: Cathemeral/Crepuscular,0.135243346,phylo1
Activity: Diurnal,0.002598976,phylo1
Activity: Nocturnal,0.043620071,phylo1
Social complexity: Solitary,0.098403029,phylo1
Social complexity: Class 1,0.703092301,phylo1
Social complexity: Class 2,0.705627873,phylo1
Social complexity: Class 3,0.536077694,phylo1
Social complexity: Pair-living,0.605167248,phylo1
Social complexity: Familial group,0.037255531,phylo1
Social complexity: Extended group,0.521244135,phylo1
Body mass,0.583994187,phylo2
BMR,0.001800188,phylo2
EQ,0.533058983,phylo2
Abundance,0.624894643,phylo2
Population density,0.579198892,phylo2
Home range,0.558014918,phylo2
Diet: Shannon index,0.626974836,phylo2
Diet: Simpson index,0.628391796,phylo2
Group size,0.157292596,phylo2
Gestation length,0.549933057,phylo2
Interbirth interval,0.45237992,phylo2
Weaning age,0.552607855,phylo2
Longevity,0.398066057,phylo2
Litter size,0.435808193,phylo2
Region: Afrotropic,0.048797537,phylo2
Region: Indomalaya,0.214797483,phylo2
Region: Nearctic,0.368192475,phylo2
Region: Neotropic,0.801738272,phylo2
Region: Palearctic,0.82469259,phylo2
Latitude,0.791049658,phylo2
Locomotion: Arboreal,0.786202028,phylo2
Locomotion: Semi-aquatic,0.328581109,phylo2
Locomotion: Scansorial,0.101489416,phylo2
Locomotion: Semi-fossorial,0.686631702,phylo2
Locomotion: Semi-arboreal,0.633518937,phylo2
Locomotion: Terrestrial,0.040715021,phylo2
Diet category 1,0.594742301,phylo2
Diet category 2,0.480903439,phylo2
Diet category 3,0.419318476,phylo2
Diet category 4,0.422987443,phylo2
Diet category 5,0.417284795,phylo2
Activity: Cathemeral/Crepuscular,0.133272391,phylo2
Activity: Diurnal,0.00249727,phylo2
Activity: Nocturnal,0.044451576,phylo2
Social complexity: Solitary,0.097350198,phylo2
Social complexity: Class 1,0.70685936,phylo2
Social complexity: Class 2,0.703906519,phylo2
Social complexity: Class 3,0.533547174,phylo2
Social complexity: Pair-living,0.605006769,phylo2
Social complexity: Familial group,0.039630578,phylo2
Social complexity: Extended group,0.521993345,phylo2
Body mass,0.577917393,phylo3
BMR,0.001913971,phylo3
EQ,0.532054603,phylo3
Abundance,0.611769021,phylo3
Population density,0.568818269,phylo3
Home range,0.550404809,phylo3
Diet: Shannon index,0.613940893,phylo3
Diet: Simpson index,0.630300607,phylo3
Group size,0.162777709,phylo3
Gestation length,0.547610109,phylo3
Interbirth interval,0.458105466,phylo3
Weaning age,0.544698364,phylo3
Longevity,0.404342407,phylo3
Litter size,0.433502046,phylo3
Region: Afrotropic,0.049128857,phylo3
Region: Indomalaya,0.216745577,phylo3
Region: Nearctic,0.378907723,phylo3
Region: Neotropic,0.798267969,phylo3
Region: Palearctic,0.814218407,phylo3
Latitude,0.790826876,phylo3
Locomotion: Arboreal,0.775799601,phylo3
Locomotion: Semi-aquatic,0.329485718,phylo3
Locomotion: Scansorial,0.104460157,phylo3
Locomotion: Semi-fossorial,0.695083049,phylo3
Locomotion: Semi-arboreal,0.64120715,phylo3
Locomotion: Terrestrial,0.042175257,phylo3
Diet category 1,0.586462064,phylo3
Diet category 2,0.480152006,phylo3
Diet category 3,0.423369045,phylo3
Diet category 4,0.425679251,phylo3
Diet category 5,0.413744421,phylo3
Activity: Cathemeral/Crepuscular,0.133294748,phylo3
Activity: Diurnal,0.002548202,phylo3
Activity: Nocturnal,0.044499025,phylo3
Social complexity: Solitary,0.099493047,phylo3
Social complexity: Class 1,0.699403086,phylo3
Social complexity: Class 2,0.704435508,phylo3
Social complexity: Class 3,0.541985706,phylo3
Social complexity: Pair-living,0.602315373,phylo3
Social complexity: Familial group,0.042589465,phylo3
Social complexity: Extended group,0.520103426,phylo3
