contributor	enterer	created	modified	location no	location name	ecozone	country	state	county	island	latitude	longitude	altitude value	geography comments	habitat	altered habitat	disturbance	MAT	CMT	WMT	MART	MAP	habitat comments	years	days	seasons	sampling comments	genus	species	subspecies	scats	vertebrate	mammal	bird	reptile	amphibian	fish	invertebrate	arthropod	arachnid	crustacean	insect	annelid	mollusc	plant	flower	fruit	seed	leaf	grass	tuber	fungus	lichen	reference
John Alroy	John Alroy	2016-02-11 21:12:41	2016-02-11 21:12:41	40	Kaeng Krachan National Park	Indomalaya	Thailand			continent	12.750010	99.600014	650	coordinate based on Kaeng Krachan National Park   elevation 500 to 800 m	tropical/subtropical dry broadleaf forest			28.000	25.000	30.000			"dry and wet evergreen (85 ), mixed deciduous (10 ) and dry dipterocarp (5 )" forest; "The climate of KKNP is essentially under the influence of seasonal monsoons with two distinct seasons: wet (June-October) and the dry season (November-May)"				daily movements are based on "the linear distance between consecutive 24-hour locations"	Prionailurus	bengalensis		25		19	1		5																		L. I. Grassman Jr. 2000. Movements and diet of the leopard cat Prionailurus bengalensis in a seasonal evergreen forest in south-central Thailand. Acta Theriologica 45:421-426.
John Alroy	John Alroy	2016-02-13 11:30:03	2016-02-13 11:30:03	57	Torres del Paine National Park	Neotropic	Chile			continent	-51.050011	-72.916679		"in the eastern foothills of the Andean mountain range"	desert/xeric shrubland								"The park... provides almost undisturbed habitat... Approximately 70  consists of a steppe biome, or pre-Andean, dry-shrub association, and the remainder is a mosaic of lakes, forests, and arid-mountain alpine zones"	1986 - 1989			home ranges are MCPs   daily movement is not discussed	Leopardus	geoffroyi		325		354	25																				W. E. Johnson and W. L. Franklin. 1991. Feeding and spatial ecology of Felis geoffroyi in southern Patagonia. Journal of Mammalogy 72:815-820.
John Alroy	John Alroy	2016-02-17 12:40:57	2016-02-17 12:40:57	75	Rio Pratudão Ranch	Neotropic	Brazil	Bahia		continent	-14.233343	-45.933342	900	"in the municipal district of Jaborandi, Bahia, near the border of the states of Bahia and Goias"   mean elevation 900 m	tropical/subtropical savanna		agriculture	21.000				1300.0	"approximately 20,000 ha, of which about 5,000 ha are used for corn and soy plantation. The predominant habitats are grasslands (campo) and wooded savannas (cerrado sensu stricto). Semideciduous forests occur as irregular patches within the wooded savannas"	1995, 1996			"On 2 July 1995, a lactating hoary fox was captured. On 7 December 1995, a male hoary-fox pup was captured in the same area. Both were tracked until the beginning of January 1996. The crab-eating fox, captured on 20 October 1995, was tracked until 15 December of the same year"   home ranges are MCPs   "positions of the animals were taken at 15-min intervals, and linear distances between consecutive points were summed to obtain total distance traveled by the animal"   "The average distance traveled by the female hoary fox from 1900 to 0100 h during 3 sampling nights was 4.76 km. The distance traveled at night, from 0100 to 0700 h during 1 sampling night, was 4.55 km" so the sum is a useable path length   "Average distance traveled by the crab-eating fox, from 1900 to 0100 h on 2 sampling nights, was 10.9 km", so this is a minimum	Chrysocyon	brachyurus		70		68	16	3							7					97							K. M. Juarez and J. Marinho-Filho. 2002. Diet, habitat use, and home ranges of sympatric canids in central Brazil. Journal of Mammalogy 83:925-933.
John Alroy	John Alroy	2016-02-17 12:40:57	2016-02-17 12:40:57	75	Rio Pratudão Ranch	Neotropic	Brazil	Bahia		continent	-14.233343	-45.933342	900	"in the municipal district of Jaborandi, Bahia, near the border of the states of Bahia and Goias"   mean elevation 900 m	tropical/subtropical savanna		agriculture	21.000				1300.0	"approximately 20,000 ha, of which about 5,000 ha are used for corn and soy plantation. The predominant habitats are grasslands (campo) and wooded savannas (cerrado sensu stricto). Semideciduous forests occur as irregular patches within the wooded savannas"	1995, 1996			"On 2 July 1995, a lactating hoary fox was captured. On 7 December 1995, a male hoary-fox pup was captured in the same area. Both were tracked until the beginning of January 1996. The crab-eating fox, captured on 20 October 1995, was tracked until 15 December of the same year"   home ranges are MCPs   "positions of the animals were taken at 15-min intervals, and linear distances between consecutive points were summed to obtain total distance traveled by the animal"   "The average distance traveled by the female hoary fox from 1900 to 0100 h during 3 sampling nights was 4.76 km. The distance traveled at night, from 0100 to 0700 h during 1 sampling night, was 4.55 km" so the sum is a useable path length   "Average distance traveled by the crab-eating fox, from 1900 to 0100 h on 2 sampling nights, was 10.9 km", so this is a minimum	Cerdocyon	thous		39		44	8	3							25					30							K. M. Juarez and J. Marinho-Filho. 2002. Diet, habitat use, and home ranges of sympatric canids in central Brazil. Journal of Mammalogy 83:925-933.
John Alroy	John Alroy	2016-02-17 12:40:57	2016-02-17 12:40:57	75	Rio Pratudão Ranch	Neotropic	Brazil	Bahia		continent	-14.233343	-45.933342	900	"in the municipal district of Jaborandi, Bahia, near the border of the states of Bahia and Goias"   mean elevation 900 m	tropical/subtropical savanna		agriculture	21.000				1300.0	"approximately 20,000 ha, of which about 5,000 ha are used for corn and soy plantation. The predominant habitats are grasslands (campo) and wooded savannas (cerrado sensu stricto). Semideciduous forests occur as irregular patches within the wooded savannas"	1995, 1996			"On 2 July 1995, a lactating hoary fox was captured. On 7 December 1995, a male hoary-fox pup was captured in the same area. Both were tracked until the beginning of January 1996. The crab-eating fox, captured on 20 October 1995, was tracked until 15 December of the same year"   home ranges are MCPs   "positions of the animals were taken at 15-min intervals, and linear distances between consecutive points were summed to obtain total distance traveled by the animal"   "The average distance traveled by the female hoary fox from 1900 to 0100 h during 3 sampling nights was 4.76 km. The distance traveled at night, from 0100 to 0700 h during 1 sampling night, was 4.55 km" so the sum is a useable path length   "Average distance traveled by the crab-eating fox, from 1900 to 0100 h on 2 sampling nights, was 10.9 km", so this is a minimum	Lycalopex	vetulus		37		9	3						2		70					39							K. M. Juarez and J. Marinho-Filho. 2002. Diet, habitat use, and home ranges of sympatric canids in central Brazil. Journal of Mammalogy 83:925-933.
John Alroy	John Alroy	2016-02-18 14:16:40	2016-02-18 14:16:40	88	Masai Mara Game Reserve	Afrotropic	Kenya			continent	-1.450010	35.216679	1560		tropical/subtropical savanna							850.0	"riverine forest, shrubby grassland... and grassland"				home ranges are based on a radiotelemetry study and apply to three different groups; values were computed "using a rounded minimum polygon method", which adds padding to a usual MCP   population density is based on visual sightings averaging "28 - 32 foxes" (averaging 30 individuals); study area is 35 km2, so density is 0.857   mean group size is 2.85   	Otocyon	megalotis		13		1									27												J. R. Malcolm. 1986. Socio-ecology of bat-eared foxes (Otocyon megalotis). Journal of Zoology 208:457-467.
John Alroy	John Alroy	2016-02-25 17:10:23	2016-02-25 17:10:23	108	Royal Chitwan National Park (palm civets)	Palearctic	Nepal			continent	27.544176	84.461395		"in Royal Chitwan National Park" on "a 2.2- km2 island... surrounded by the Rapti River and Dungre Khola, a small stream"	tropical/subtropical dry broadleaf forest							2300.0	"mixed dry deciduous forest with thick understory"	1989, 1990				Paradoxurus	hermaphroditus		193		4	6	1							24		7				201						A. R. Joshi, J. L. D. Smith, and F. J. Cuthbert. 1995. Influence of food distribution and predation pressure on spacing behavior in palm civets. Journal of Mammalogy 76:1205-1212.
John Alroy	John Alroy	2016-02-26 20:17:09	2021-06-26 21:19:56	110	Mudumalai Wildlife Sanctuary	Indomalaya	India	Tamil Nadu		continent	11.625010	76.558342	1000	elevation 800 to 1200 m	tropical/subtropical dry broadleaf forest								"tropical moist deciduous forest through dry deciduous forest to dry thorn forest"	1990 - 1992			group sizes of the two packs respectively ranged from 4 to 10 and from 3 to 15   prey population density values are based on "Fourier series analysis of line transect data for the year 1991"   Cervus unicolor is called "Rusa unicolor"	Cuon	alpinus		605		1057																					A. B. Venkataraman, R. Arumugam, and R. Sukumar. 1995. The foraging ecology of dhole (Cuon alpinus) in Mudumalai Sanctuary, southern India. Journal of Zoology 237:543-561.
John Alroy	John Alroy	2017-12-10 19:08:50	2017-12-10 19:08:50	191	Archbold Biological Station	Nearctic	United States	Florida	Highlands	continent	27.183344	-81.350014	49	"10 km south of the town of Lake Placid"   elevation 30 to 68 m	temperate broadleaf/mixed forest		agriculture,grazing	22.200				1370.0	"percentage of each type in parentheses... closed canopy xeric pine-oak (4), open canopy xeric pine-oak (28), flatwoods (21), bayhead (7), citrus grove and tree nursery (16), oldfield (10), improved pasture (12), and man-occupied (2)"	1979 - 1982			population density is given in individuals per 100 km2 and is apparently based on the number found in the 16 km2 "core area" of the study	Lynx	rufus		146		250	28																				D. A. Wassmer, D. D. Guenther, and J. N. Layne. 1988. Ecology of the bobcat in south-central Florida. Bulletin of the Florida State Museum Biological Sciences 33:159-228.
John Alroy	John Alroy	2018-01-21 16:42:43	2018-01-21 16:42:43	197	Los Pinos Range	Nearctic	United States	New Mexico	Socorro	continent	34.333344	-106.833344	2100	coordinate based on Sevilleta National Wildlife Refuge   elevation 1900 to 2300 m	temperate savanna			13.550				284.0	"primarily juniper (Juniperus monosperma) savanna, with limited pi on-juniper (Pinus edulis, J. monosperma) woodland... Mean monthly maximum and minimum temperatures were 20.5  C and 6.6  C"	2008 - 2011			fixed kernel estimates are also given   "Nightly ringtail movements were measured by the distance moved between dens on successive days"   "plants" in Table 5 are presumed to be fruits because the abstract says that "ringtails consumed primarily fruits"	Bassariscus	astutus		314		131	82	7				50	40		452					358							R. L. Harrison. 2012. Ringtail (Bassariscus astutus) ecology and behavior in central New Mexico, USA. Western North American Naturalist 72:495-506.
John Alroy	John Alroy	2018-01-21 18:22:43	2018-01-21 18:22:43	198	Aoshima	Palearctic	Japan			coastal island	33.416676	129.666672	29	"on Aoshima... an island some 700 m off in the northwest Kyushu... the highest point is merely 58m above sea level"	temperate savanna								"Various habitats are represented... housing area, cultivated fields, paddy fields, grasslands (including abandoned cultivated and paddy fields) and secondary forests... Two study areas were chosen... the northern grassland, and the village area" but density and range data are only entered for the grassland	1982 - 1985, 1988, 1989			population density data apply to roughly the same area mostly sampled in consecutive years (1982 - 1985), so they might represent largely independent populations	Mustela	sibirica	coreana	115		27	2	13	15	14		5			83					8							H. Sasaki and Y. Ono. 1994. Habitat use and selection of the Siberian weasel Mustela sibirica coreana during the non-mating season. Journal of the Mammalogical Society of Japan 19:21-32.
John Alroy	John Alroy	2018-01-26 09:13:59	2018-01-26 09:13:59	211	Mweya Peninsula	Afrotropic	Uganda			continent	-0.200010	29.900009		none given (coordinate based on Mweya)	tropical/subtropical savanna							850.0	"medium-height grassland"   MAP 800 to 900 mm	1971 - 1973			individuals were "live-trapped" using "wire mesh" traps for weighing, but ranges and density are based on visual observation   the study was in "an area of 4.95 km2" and there were 86 "adults and sub-adults" yielding a stated density of 17.4 individuals per km2, which is correct   there were six packs with initially 95 individuals, so the mean group size was 15.83   "mean home range of five of the packs was 80.4 ha" (not clear which ones, and range definition is apparently subjective based on Fig. 1)   "The mean distance travelled in six all-day watches on Mweya Peninsula was 2.3 km": this figure is clearly a path length and refers to a single pack	Mungos	mungo		120		2		2	5			115	14		410		2			6			6				J. P. Rood. 1975. Population dynamics and food habits of the banded mongoose. East African Wildlife Journal 13:89-111.
John Alroy	John Alroy	2018-02-10 14:24:22	2018-02-10 14:24:22	238	Ames	Nearctic	United States	Iowa	Story	continent	42.033344	-93.616676		"near Ames" (basis of coordinate)	temperate savanna	cropland							"160 acres... About 60 acres were in cornfields, 30 in oat stubble, 28 in sweet clover meadow, 15 in soy bean stubble, 21.5 in blue-grass pasture, and 5.5 acres in an undisturbed weed patch and slough"	1939			"The inventory method used was following all tracks made during a single night immediately after a snowfall... The average distance travelled... in one night was about 25 rods from the central den... five weasels were fond to be present on the 160 acres" yielding a density of 5 0.64749703   7.722   two times the "rods" figure is a bare minimum path length and not usable   original species name was Mustela frenata	Neogale	frenata		135		160	2								1												E. B. Polderboer, L. W. Kuhn, and G. O. Hendrickson. 1941. Winter and spring habits of weasels in central Iowa. Journal of Wildlife Management 5:115-119.
John Alroy	John Alroy	2018-02-12 18:07:04	2018-02-12 18:07:04	240	Pulau Tekong (leopard cats)	Indomalaya	Singapore			coastal island	1.409454	104.056953		"an offshore island situated in the Johor Straits northeast of the main island"	tropical/subtropical moist broadleaf forest	secondary forest		26.800				2344.0	"econdary forest and scrub that cover former orchards, plantations and sundry crop"   MAT is for Singapore and is stated in the text; MAP is based on Pulau Tekong (pangolins)				"Nineteen camera trap stations using Reconyx PC800 passive infrared camera traps were deployed from September 2011 to December 2012... spaced approximately 1 km apart"   population size estimate is based on "capture-recapture (CR) analysis" of 184 records of 29 individuals   densities are respectively for secondary vegetation on the original island and reclaimed land and for "oil palm environs", with areas of 12.67, 5.88, and 4.54 km2 and actual individual counts of 8, 8, and 13	Prionailurus	bengalensis		65		66	10	12	1						37								37				M. A. H. Chua, N. Sivasothi, and R. Meier. 2016. Population density, spatiotemporal use and diet of the leopard cat (Prionailurus bengalensis) in a human-modified succession forest landscape of Singapore. Mammal Research 61:99-108.
John Alroy	John Alroy	2021-06-17 18:31:25	2021-06-17 18:31:25	313	Ngare Nanyuki	Afrotropic	Tanzania			continent	-2.430000	35.139999		"40 km east of Seronera in Ngare Nanyuki, in the Serengeti National Park"   this is apparently not the same as the Ngare Nanyuki that is between Arusha National Park and Mount Kilimanjaro National Park   coordinate is a rough estimate based on the 40 km figure	tropical/subtropical savanna								none given	1970, 1971			"Range here is defined as the area delineated by a boundary drawn around the furthest points from the centre of the range which were visited by the animal"   "during ten 24-h watches... the Landrover following the hyaena covered a mean distance of 19 km per night"	Hyaena	hyaena		50		65	22	20							51					21							H. Kruuk. 1976. Feeding and social behaviour of the striped hyaena (Hyaena vulgaris Desmarest). East African Wildlife Journal 14:91-111.
John Alroy	John Alroy	2021-06-17 18:31:25	2021-06-17 18:31:25	313	Ngare Nanyuki	Afrotropic	Tanzania			continent	-2.430000	35.139999		"40 km east of Seronera in Ngare Nanyuki, in the Serengeti National Park"   this is apparently not the same as the Ngare Nanyuki that is between Arusha National Park and Mount Kilimanjaro National Park   coordinate is a rough estimate based on the 40 km figure	tropical/subtropical savanna								none given	1970, 1971			"Range here is defined as the area delineated by a boundary drawn around the furthest points from the centre of the range which were visited by the animal"   "during ten 24-h watches... the Landrover following the hyaena covered a mean distance of 19 km per night"	Crocuta	crocuta		42		78									3												H. Kruuk. 1976. Feeding and social behaviour of the striped hyaena (Hyaena vulgaris Desmarest). East African Wildlife Journal 14:91-111.
John Alroy	John Alroy	2016-02-25 16:04:14	2016-02-25 16:04:14	357	Cypress Hills Interprovincial Park	Nearctic	Canada	Alberta		continent	49.666676	-110.250008		"a 400-km2 protected area in southeast Alberta and southwest Saskatchewan"   stated coordinate is in Alberta	temperate savanna		grazing		-9.000	15.900		562.0	the "natural cover types" are montane, fescue grassland, mixed-grass, and wetlands   "Cattle grazing occurred inside the park from June to October"	2008, 2009			the study used GPS collars, but the density estimate is not based on the GPS data   population size is "15 20 adults" and the area is 400 km2, so the density is 0.04375 individuals km2	Puma	concolor		211		408	1																				M. M. Bacon, G. M. Becic, M. T. Epp, and M. S. Boyce. 2011. Do GPS clusters really work  Carnivore diet from scat analysis and GPS telemetry methods. Wildlife Society Bulletin 35:409-415.
John Alroy	John Alroy	2021-06-27 11:24:33	2021-06-27 11:24:33	213	Ernesto Tornquist Provincial Park (Pampas foxes)	Neotropic	Argentina	Buenos Aires		continent	-38.050011	-62.000011		"in Sierra Ventana... and isolated ancient mountain"   the protected area is "approximately 6700 ha" (Castillo et al. 2011)	temperate savanna		grazing		8.200	23.200		646.0	"grassland... intensively grazed by a growing population of free-ranging horses"	2001 - 2006			50  MCP and 95  fixed kernel estimates are also given   separate values are given for each individual in each year; the maximum has been entered   minimum number of fixes is 15   "a minimum adult population density of 1.5 in km-2" is based on the tracked individuals but was "improved" by "considering gender 1:1 sex ratio... and using only data for male overlap"   scat data are for "between November 2000 and February 2001" (Castillo et al. 2011)	Lycalopex	gymnocercus		152		58	8	3			6				133					71			61				D. F. Castillo, D. E. Birochio, M. Lucherini, and E. B. Casanave. 2011. Diet of adults and cubs of Lycalopex gymnocercus in Pampas grassland: a validation of the Optimal Foraging Theory . Annales Zoologici Fennici 48:251-256.
John Alroy	John Alroy	2021-06-27 11:42:52	2021-06-27 11:42:52	129	Britannia Park	Palearctic	Israel			continent	31.641399	34.903343		"located at the foothills of the Judean hills in central Israel... approximately 30 km south-west of Jerusalem"	Mediterranean woodland				13.000	25.000		490.0	"both planted forests dominated by oak (Quercus calliprinos) and wild Palestine cashew (Pistacia palaestina), and Mediterranean Maqui dominated by 2 communities: 1) Palestine buckthorn (Rhamnus palaestinus) and 2) Carob (Ceratonia siliqua) and mastic tree (Pistacia lenticus)"	2002 - 2006			90  kernel estimates   data are for jackals found in natural habitats; additional data for 8 jackals with home range cores that "included all or part of a village" are reported   sex of animals is completely unclear   the movement data have 1 hour resolution, and to get these data each f three individuals in natural habitat were tracked "for 2 nights during the period April-September 2006"   scat data of Borkowski et al. (2011) are for the same location and were collected "between March 2002 and November 2003"	Canis	aureus		396		285	119	70			84									124	79						J. Borkowski, A. Zalewski, and R. Manor. 2011. Diet composition of golden jackals in Israel. Annales Zoologici Fennici 48:108-118.
John Alroy	John Alroy	2021-06-27 11:55:42	2021-06-27 11:55:42	358	Paulo Cesar Vinha State Park	Neotropic	Brazil	Espírito Santo		continent	-20.591677	-40.408344		"approximately 1 500 ha... in Guarapari Municipality"	tropical/subtropical dry broadleaf forest			23.300					"tropical with rainy summer and a dry period in winter"	2000 - 2002			the study was "from June 2000 to September 2002"	Cerdocyon	thous		131		17	8	49	5	7				25	126		1			226							A. Gatti, R. Bianchi, C. R. X. Rosa, and S. L. Mendes. 2006. Diet of two sympatric carnivores, Cerdocyon thous and Procyon cancrivorus, in a restinga area of Espirito Santo State, Brazil. Journal of Tropical Ecology 22:227-230.
John Alroy	John Alroy	2021-06-27 11:55:42	2021-06-27 11:55:42	358	Paulo Cesar Vinha State Park	Neotropic	Brazil	Espírito Santo		continent	-20.591677	-40.408344		"approximately 1 500 ha... in Guarapari Municipality"	tropical/subtropical dry broadleaf forest			23.300					"tropical with rainy summer and a dry period in winter"	2000 - 2002			the study was "from June 2000 to September 2002"	Procyon	cancrivorus		60		7	3	21	1	4				13	55		1			102							A. Gatti, R. Bianchi, C. R. X. Rosa, and S. L. Mendes. 2006. Diet of two sympatric carnivores, Cerdocyon thous and Procyon cancrivorus, in a restinga area of Espirito Santo State, Brazil. Journal of Tropical Ecology 22:227-230.
John Alroy	John Alroy	2018-02-07 21:34:01	2018-02-07 21:34:01	359	Cayambe-Coca Ecological Reserve	Neotropic	Ecuador	Napo		continent	0.050010	-77.800011		"along Oyacachi River Basin in the Province of Napo, 50 km east of the capital city of Quito"   coordinate is based on Cayambe Coca Ecological Reserve   elevation 1600 to 4500 m	tropical/subtropical moist broadleaf forest							3500.0	"The lowest and highest mean annual temperatures were 5 C and 17 C" (possibly meaning at different elevations)   the "major vegetation types" were "montane cloud forest, evergreen upper montane forest, alder (Alnus spp.) forest, mixed p ramo forest, cushion p ramo, and grass p ramo"	2000			"We collected scats from January to December 2000"	Tremarctos	ornatus		65											4			41		11			5				V. Troya, F. Cuesta, and M. Peralvo. 2004. Food habits of Andean bears in the Oyacachi River Basin, Ecuador. Ursus 15:57-60.
John Alroy	John Alroy	2021-06-27 12:56:32	2021-06-27 12:56:32	360	Cockscomb Basin	Neotropic	Belize			continent	16.719999	-88.660004	300	"southern Belize... 425 km2"   coordinate is based on Cockscomb Basin Wildlife Sanctuary   elevation 0 to 600 m	tropical/subtropical moist broadleaf forest		selective logging					2500.0	"subtropical wet forest... with an annual rainfall of 250 cm yr"   there is a "dense secondary forest in many parts of the basin" because of "selective timbering and hurricanes"	1983			the study was from March to December 1983   the "modified minimum area method (Mohr, 1947)" was used but "boundaries were drawn around open fields and pastures when the Jaguar was known to avoid such areas"   data for the two females are based on "uncollared" individuals and are rough estimates (see Fig. 1)   "On two occasions, two different male Jaguars were located hourly between 20.00 and 5.00 h" and had averaged "linear movements of 0.7 km h and 0.8 km h, respectively" indicating total movements of 4.9 and 5.6 km	Panthera	onca		228		177	2	6																			A. R. Rabinowitz and B. G. Nottingham Jr. 1986. Ecology and behaviour of the Jaguar (Panthers onca) in Belize, Central America. Journal of Zoology 210:149-159.
John Alroy	John Alroy	2021-06-27 13:12:54	2021-06-27 13:12:54	122	Yushan National Park	Indomalaya	Taiwan			medium-sized oceanic island	23.316677	121.166679	1350	"within the heart of the Central Mountain Range" and specifically "in the watershed of the Lakulaku River... we captured bears mainly during the fall in an oak-dominated area at 1,100-1,600 m elevation" (i.e., in the submontane and montane zones)	tropical/subtropical moist broadleaf forest								"Average annual rainfall was 3,000 - 5,000 mm, varying with elevation... Average annual temperatures of 20 C, 10 C and 5 C corresponded to the 1,000-, 2,500-, and 3,500-m elevational contours"	1998 - 2000			scat data are from Hwang et al. (2002) and represent the same field seasons	Ursus	thibetanus	formosanus	693		80									8					709							M.-H. Hwang, D. L. Garshelis, and Y. Wang. 2002. Diets of Asiatic black bears in Taiwan, with methodological and geographical comparisons. Ursus 13:111-125.
