	Afrotropic	Indomalaya	Nearctic	Neotropic	Palearctic
Acinonyx_jubatus	3	0	0	0	0
Canis_dirus	0	0	12	0	0
Ailuropoda_melanoleuca	0	1	0	0	0
Ailuropoda_sp.	0	3	0	0	0
Aonyx_capensis	4	0	0	0	0
Arctictis_binturong	0	2	0	0	0
Arctodus_simus	0	0	3	0	0
Arctonyx_collaris	0	5	0	0	0
Arctotherium_sp.	0	0	0	1	0
Atilax_paludinosus	2	0	0	0	0
Bassariscus_astutus	0	0	3	0	0
Brachyprotoma_obtusata	0	0	1	0	0
Canidae_indet.	1	2	5	3	1
Canis_adustus	2	0	0	0	0
Canis_aureus	0	5	0	0	9
Canis_latrans	0	0	28	0	0
Canis_lupus	2	7	45	4	62
Canis_mesomelas	25	0	0	0	0
Canis_mosbachensis	0	0	0	0	1
Canis_sp.	14	4	19	1	16
Canis_spp.	0	0	6	0	0
Caracal_caracal	18	0	0	0	1
Carnivora_indet.	2	0	2	2	4
Cerdocyon_thous	0	0	0	2	0
Civettictis_civetta	6	0	0	0	0
Conepatus_chinga	0	0	0	2	0
Conepatus_leuconotus	0	0	2	0	0
Conepatus_robustus	0	0	1	0	0
Conepatus_sp.	0	0	0	2	0
Crocuta_crocuta	9	2	0	0	22
Cuon_alpinus	0	3	0	0	4
Cuon_sp.	0	1	0	0	1
Cynictis_penicillata	3	0	0	0	0
Dusicyon_avus	0	0	0	2	0
Felidae_indet.	1	1	2	2	2
Felinae_indet.	1	0	0	0	1
Felis_catus	1	1	1	0	2
Felis_chaus	0	1	0	0	1
Felis_lybica	26	0	0	0	8
Felis_margarita	0	0	0	0	3
Felis_nigripes	2	0	0	0	0
Felis_silvestris	0	0	0	0	12
Felis_sp.	5	2	0	0	9
Felis_spp.	0	0	0	0	1
Genetta_genetta	1	0	0	0	0
Genetta_sp.	10	0	0	0	0
Genetta_tigrina	4	0	0	0	0
Gulo_gulo	0	0	1	0	5
Gulo_sp.	0	0	0	0	1
Helarctos_malayanus	0	2	0	0	0
Herpailurus_yagouaroundi	0	0	2	0	0
Herpestes_ichneumon	3	0	0	0	4
Herpestes_pulverulentus	12	0	0	0	0
Herpestes_sanguineus	4	0	0	0	0
Herpestes_sp.	2	0	0	0	0
Herpestidae_indet.	9	0	0	0	0
Herpestinae_indet.	2	0	0	0	0
Hyaena_hyaena	2	0	0	0	2
Hyaenidae_indet.	6	0	0	0	3
Ichneumia_albicauda	3	0	0	0	1
Ictonyx_libycus	0	0	0	0	3
Ictonyx_striatus	8	0	0	0	0
Leopardus_pardalis	0	0	0	1	0
Leopardus_sp.	0	0	0	1	0
Leopardus_wiedii	0	0	0	1	0
Leptailurus_serval	8	0	0	0	0
Lontra_canadensis	0	0	14	0	0
Lutra_lutra	0	3	0	0	4
Lutra_sp.	0	1	0	1	0
Lycalopex_culpaeus	0	0	0	6	0
Lycalopex_griseus	0	0	0	2	0
Lycalopex_gymnocercus	0	0	0	2	0
Lycalopex_sechurae	0	0	0	1	0
Lycalopex_sp.	0	0	0	3	0
Lycaon_pictus	7	0	0	0	0
Lynx_canadensis	0	0	1	0	0
Lynx_lynx	0	0	1	0	7
Lynx_pardinus	0	0	0	0	6
Lynx_rufus	0	0	26	0	0
Lynx_sp.	0	0	6	0	2
Martes_americana	0	0	5	0	0
Martes_caurina	0	0	1	0	0
Martes_flavigula	0	0	0	0	1
Martes_foina	0	0	0	0	10
Martes_martes	0	0	0	0	2
Martes_sp.	0	0	3	0	5
Martes_zibellina	0	0	0	0	3
Meles_leucurus	0	0	0	0	3
Meles_meles	0	0	0	0	28
Meles_sp.	0	1	0	0	3
Mellivora_capensis	16	0	0	0	0
Melursus_ursinus	0	1	0	0	0
Mephitidae_indet.	0	0	2	0	0
Mephitis_macroura	0	0	1	0	0
Mephitis_mephitis	0	0	27	0	0
Mephitis_sp.	0	0	3	0	0
Mungos_mungo	2	0	0	0	0
Mungos_sp.	1	0	0	0	0
Mustela_altaica	0	0	0	0	2
Mustela_erminea	0	0	3	0	6
Mustela_eversmanii	0	0	0	0	3
Mustela_nivalis	0	0	5	0	9
Mustela_putorius	0	0	0	0	3
Mustela_sibirica	0	0	0	0	2
Mustela_sp.	0	0	0	0	9
Mustelidae_indet.	0	2	2	0	0
Mustelinae_indet.	0	0	4	0	0
Nasua_nasua	0	0	0	2	0
Nasuella_olivacea	0	0	0	1	0
Neofelis_nebulosa	0	2	0	0	0
Neogale_frenata	0	0	13	1	0
Neogale_vison	0	0	20	0	0
Nyctereutes_procyonoides	0	0	0	0	5
Otocyon_megalotis	5	0	0	0	0
Pachycrocuta_sp.	0	0	0	0	1
Panthera_atrox	0	0	3	1	0
Panthera_leo	6	0	0	0	8
Panthera_onca	0	0	4	3	0
Panthera_pardus	29	6	0	0	14
Panthera_sp.	1	2	0	0	6
Panthera_spelaea	0	0	0	0	12
Panthera_tigris	0	4	0	0	3
Pantherinae_indet.	0	0	0	1	0
Paradoxurus_hermaphroditus	0	3	0	0	0
Paradoxurus_sp.	0	5	0	0	0
Parahyaena_brunnea	5	0	0	0	0
Pekania_pennanti	0	0	11	0	0
Potos_flavus	0	0	0	1	0
Prionailurus_bengalensis	0	2	0	0	1
Prionailurus_sp.	0	2	0	0	0
Prionailurus_viverrinus	0	1	0	0	0
Procyon_cancrivorus	0	0	0	1	0
Procyon_lotor	0	0	47	0	0
Proteles_cristata	2	0	0	0	0
Protocyon_sp.	0	0	0	1	0
Puma_concolor	0	0	11	7	0
Smilodon_fatalis	0	0	6	0	0
Smilodon_populator	0	0	0	5	0
Smilodon_sp.	0	0	1	0	0
Spilogale_gracilis	0	0	3	0	0
Spilogale_putorius	0	0	7	0	0
Spilogale_sp.	0	0	1	0	0
Suricata_suricatta	3	0	0	0	0
Taxidea_taxus	0	0	14	0	0
Tremarctos_floridanus	0	0	1	1	0
Tremarctos_ornatus	0	0	0	2	0
Tremarctos_sp.	0	0	0	1	0
Urocyon_cinereoargenteus	0	0	23	0	0
Urocyon_sp.	0	0	3	0	0
Ursidae_indet.	0	0	2	0	0
Ursus_americanus	0	0	31	0	0
Ursus_arctos	0	0	6	0	21
Ursus_deningeri	0	0	0	0	3
Ursus_maritimus	0	0	2	0	0
Ursus_sp.	0	2	1	0	11
Ursus_spelaeus	0	0	0	0	10
Ursus_spp.	0	4	0	0	0
Ursus_thibetanus	0	8	0	0	2
Herpestes_edwardsii	0	5	0	0	0
Urva_sp.	0	3	0	0	1
Viverra_megaspila	0	1	0	0	0
Viverra_sp.	0	2	0	0	1
Viverra_zibetha	0	1	0	0	1
Viverricula_indica	0	3	0	0	0
Viverridae_indet.	0	2	0	0	0
Viverridae_indet._large	1	0	0	0	0
Viverridae_indet._small	2	0	0	0	0
Vormela_peregusna	0	0	0	0	3
Vulpes_chama	6	0	0	0	0
Vulpes_corsac	0	0	0	0	5
Vulpes_lagopus	0	0	2	0	8
Vulpes_macrotis	0	0	1	0	0
Vulpes_rueppellii	0	0	0	0	1
Vulpes_sp.	0	1	3	0	14
Vulpes_velox	0	0	7	0	0
Vulpes_vulpes	0	0	20	0	69
Vulpes_zerda	1	0	0	0	0
