reference no	contributor	enterer	created	authors	year	title	source	editors	volume	number	first page	lastpage	source type	language	DOI	sampled entered	comments
855	John Alroy	John Alroy	2015-02-16 09:36:30	G. R. Friend	1979	The response of small mammals to clearing and burning of eucalypt forest in south-eastern Australia	Australian Wildlife Research		6	2	151	163	article	English		the only one	
856	John Alroy	John Alroy	2015-02-16 10:28:54	K. A. Barbara, A. Farzeli, I. N. Ibrahim, U. Antonjaya, A. Yunianto, I. Winoto, . Ester, D. Perwitasari, S. Widjaya, A. L. Richards, M. Williams, P. J. Blair	2010	Rickettsial infections of fleas collected from small mammals on four islands in Indonesia	Journal of Medical Entomology		47	6	1173	1178	article	English		all of them	
861	John Alroy	John Alroy	2015-02-16 12:43:01	T. Changbunjong, C. Jirapattharasate, R. Buddhirongawatr, K. Chewajon, P. Charoenyongyoo, S. Suwanapakdee, S. Waengsothorn, K. Tirwitayakorn, K. Chaichoun, P. Ratanakorn	2010	Ectoparasitic fauna of birds, and volant and non-volant small mammals captured at Srinakarin Dam, Kanchanaburi, Thailand	Southeast Asian Journal of Tropical Medicine and Public Health		41	3	526	535	article	English		all of them	
1003	John Alroy	John Alroy	2015-03-07 17:11:24	G. Walter	1981	Zur Saisondynamik und Biologie von Ixodes trianguliceps Birula, 1895 (Ixodoidea, Ixodidae) in Norddeutschland	Zeitschrift für Angewandte Entomologie		92	1-5	433	440	article	English	10.1111/j.1439-0418.1981.tb01693.x	one of several	
1600	John Alroy	John Alroy	2015-12-12 16:53:10	E. M. Bayne, K. A. Hobson	1998	The effects of habitat fragmentation by forestry and agriculture on the abundance of small mammals in the southern boreal mixedwood forest	Canadian Journal of Zoology		76		62	69	article	English		the only one	
1620	John Alroy	John Alroy	2015-12-16 10:47:04	T. M. Kollars Jr, W. E. Wilhelm	1996	The occurrence of antibodies to Naegleria species in wild mammals	Journal of Parasitology		82	1	73	77	article	English		the only one	
1621	John Alroy	John Alroy	2015-12-16 11:36:23	B. Myton	1974	Utilization of space by Peromyscus leucopus and other small mammals	Ecology		55	2	277	290	article	English		the only one	
1633	John Alroy	John Alroy	2015-12-18 18:27:05	T. P. Sullivan, D. S. Sullivan, P. M. F. Lindgren	2000	Small mammals and stand structure in young pine, seed-tree, and old-growth forest, southwest Canada	Ecological Applications		10	5	1367	1383	article	English		one of several	
1692	John Alroy	John Alroy	2016-01-05 20:18:42	M. Trolle	2003	Mammal survey in the southeastern Pantanal, Brazil	Biodiversity and Conservation		12	4	823	836	article	English		one of several	
1693	John Alroy	John Alroy	2016-01-05 20:36:14	K. Kawanishi, M. E. Sunquist	2004	Conservation status of tigers in a primary rainforest of Peninsular Malaysia	Biological Conservation		120	3	329	344	article	English		one of several	
1694	John Alroy	John Alroy	2016-01-05 21:07:32	J. Mohammed Azlan	2006	Mammal diversity and conservation in a secondary forest in Peninsular Malaysia	Studies on Neotropical Fauna and Environment		15	3	1013	1025	article	English	10.1007/s10531-004-3953-0	the only one	
1695	John Alroy	John Alroy	2016-01-06 17:07:32	J. Mohammed Azlan, L. Engkamat	2006	Camera trapping and conservation in Lambir Hills National Park, Sarawak	Raffles Bulletin of Zoology		54	2	469	475	article	English		the only one	
1696	John Alroy	John Alroy	2016-01-06 20:28:28	B. Giman, R. Stuebing, N. Megum, W. J. Mcshea, C. M. Stewart	2007	A camera trapping inventory for mammals in a mixed use planted forest in Sarawak	Raffles Bulletin of Zoology		55	1	209	215	article	English		the only one	
1697	John Alroy	John Alroy	2016-01-06 20:46:28	H. C. Chetana, T. Ganesh	2007	Survey and activity patterns of nocturnal mammals in a fragmented dry deciduous forest of Karnataka	Zoos' Print Journal		22	4	2644	2647	article	English		all of them	
1698	John Alroy	John Alroy	2016-01-06 21:06:32	S. de Souza Martins, J. G. Sanderson, J. de Sousa e Silva-Júnior	2007	Monitoring mammals in the Caxiuanã National Forest, Brazil - First results from the Tropical Ecology, Assessment and Monitoring (TEAM) program	Biodiversity and Conservation		16	4	857	870	article	English	10.1007/s10531-006-9094-x	one of several	
1699	John Alroy	John Alroy	2016-01-06 21:17:40	M. Trolle, M. C. Bissaro, H. M. Prado	2007	Mammal survey at a ranch of the Brazilian Cerrado	Biodiversity and Conservation		16	4	1205	1211	article	English	10.1007/s10531-006-9106-x	one of several	
1700	John Alroy	John Alroy	2016-01-07 20:25:07	M.-H. Hwang, Y.-Y. Chian	2007	Monitoring larger mammals in the Nanzihshian logging road area, Yushan National Park, Taiwan	Taiwan Journal of Forest Science		22	2	135	147	article	English		one of several	
1701	John Alroy	John Alroy	2016-01-07 21:02:11	A. C. Srbek-Araujo, A. G. Chiarello	2007	Armadilhas fotográficas na amostragem de mamíferos: Considerações metodológicas e comparação de equipamentos	Revista Brasileira de Zoologia		24	3	647	656	article	English		one of several	
1702	John Alroy	John Alroy	2016-01-07 21:35:10	C. B. Kasper, F. D. Mazim, J. B. G. Soares, T. G. de Oliveira, M. E. Fabián	2007	Composição e abundância relativa dos mamíferos de médio e grande porte no Parque Estadual do Turvo, Rio Grande do Sul, Brasil	Revista Brasileira de Zoologia		24	4	1087	1100	article	Portugese		one of several	
1703	John Alroy	John Alroy	2016-01-09 15:57:36	M. W. Tobler, S. E. Carrillo-Percastegui, R. Leite Pitman, R. Mares, G. Powell	2008	An evaluation of camera traps for inventorying large and medium-sized terrestrial rainforest mammals	Animal Conservation		11	3	169	178	article	English	10.1111/j.1469-1795.2008.00169.x	all of them	
1704	John Alroy	John Alroy	2016-01-09 19:08:54	H. Fukuda, G. Takayama, M. Iguchi, E. Shibata	2008	Camera-trapped mammal fauna of Mt. Ohdaigahara, Central Japan	Japanese Journal of Conservation Ecology		13	2	265	274	article	Japanese		one of several	
1705	John Alroy	John Alroy	2016-01-09 19:27:06	A. B. Stein, T. K. Fuller, L. L. Marker	2008	Opportunistic use of camera traps to assess habitat-specific mammal and bird diversity in northcentral Namibia	Biodiversity and Conservation		17	14	3579	3587	article	English	10.1007/s10531-008-9442-0	all of them	
1706	John Alroy	John Alroy	2016-01-09 20:36:56	O. E. Can, I. Togan	2009	Camera trapping of large mammals in Yenice Forest, Turkey: local information versus camera traps	Oryx		43	3	427	430	article	English	10.1017/S0030605308000628	the only one	
1707	John Alroy	John Alroy	2016-01-10 08:35:22	S. Kitamura, S. Thong-Aree, S. Madsri, P. Poonswad	2010	Mammal diversity and conservation in a small isolated forest of southern Thailand	Raffles Bulletin of Zoology		58	1	145	156	article	English		the only one	
1708	John Alroy	John Alroy	2016-01-10 10:11:11	K. J.-C. Pei, Y.-C. Lai, R. T. Corlett, K.-Y. Suen	2010	The larger mammal fauna of Hong Kong: species survival in a highly degraded landscape	Zoological Studies		49	2	253	264	article	English		the only one	
1709	John Alroy	John Alroy	2016-01-10 10:30:35	P. Borchard, I. A. Wright	2010	Using camera-trap data to model habitat use by bare-nosed wombats (Vombatus ursinus) and cattle (Bos taurus) in a south-eastern Australian agricultural riparian ecosystem	Australian Mammalogy		32	1	16	22	article	English	10.1071/AM09010	all of them	
1710	John Alroy	John Alroy	2016-01-10 11:52:32	J. L. McCarthy, K. P. McCarthy, T. K. Fuller, T. M. McCarthy	2010	Assessing variation in wildlife biodiversity in the Tien Shan Mountains of Kyrgyzstan using ancillary camera-trap photos	Mountain Research and Development		30	3	295	301	article	English	10.1659/MRD-JOURNAL-D-09-00080.1	a few	
1711	John Alroy	John Alroy	2016-01-10 16:46:23	M. J. Andrade-Núñez, T. M. Aide	2010	Effects of habitat and landscape characteristics on medium and large mammal species richness and composition in northern Uruguay	Zoologia		27	6	909	917	article	English	10.1590/S1984-46702010000600012	a few	
1712	John Alroy	John Alroy	2016-01-10 20:19:06	O. Monroy-Vilchis, M. M. Zarco-González, C. Rodríguez-Soto, L. Soria-Díaz, V. Urios	2011	Fototrampeo de mamíferos en la Sierra Nanchititla, México: abundancia relativa y patrón de actividad	Revista de Biologia Tropical		59	1	373	383	article	Spanish		the only one	
1713	John Alroy	John Alroy	2016-01-10 20:51:35	K. Stevens, A. Deghan, M. Karlstetter, F. Rawan, M. I. Tawhid, S. Ostrowski, J. M. Ali, R. Ali	2011	Large mammals surviving conflict in the eastern forests of Afghanistan	Oryx		45	2	265	271	article	English	10.1017/S0030605310000517	one of several	
1714	John Alroy	John Alroy	2016-01-10 21:09:51	J. G. Blake, D. Mosquera, J. Guerra, B. A. Loiselle, D. Romo, K. Swing	2011	Mineral licks as diversity hotspots in lowland forest of eastern Ecuador	Diversity		3	2	217	234	article	English	10.3390/d3020217	one of several	
1715	John Alroy	John Alroy	2016-01-10 21:33:46	D. P. Munari, C. Keller, E. M. Venticinque	2011	An evaluation of field techniques for monitoring terrestrial mammal populations in Amazonia	Mammalian Biology		76	4	401	408	article	English	10.1016/j.mambio.2011.02.007	one of several	
1716	John Alroy	John Alroy	2016-01-11 20:54:56	K. E. Jenks, P. Chanteap, K. Damrongchainarong, P. Cutter, P. Cutter, T. Redford, A. J. Lynam, J. Howard, P. Leimgruber	2011	Using relative abundance indices from camera-trapping to test wildlife conservation hypotheses - an example from Khao Yai National Park, Thailand	Tropical Conservation Science		4	2	113	131	article	English		the only one	
1717	John Alroy	John Alroy	2016-01-11 21:13:49	A. L. Towerton, T. D. Penman, R. P. Kavanagh, C. R. Dickman	2011	Detecting pest and prey responses to fox control across the landscape using remote cameras	Wildlife Research		38	3	208	220	article	English		one of several	
1718	John Alroy	John Alroy	2016-01-12 09:06:07	T. N. E. Gray, C. Phan	2011	Habitat preferences and activity patterns of the larger mammal community in Phnom Prich Wildlife Sanctuary, Cambodia	Raffles Bulletin of Zoology		59	2	311318		article	English		the only one	
1719	John Alroy	John Alroy	2016-01-12 20:19:43	K. D. Espartosa, B. T. Pinotti, R. Pardini	2011	Performance of camera trapping and track counts for surveying large mammals in rainforest remnants	Biodiversity and Conservation		20	12	2815	2829	article	English	10.1007/s10531-011-0110-4	one of several	
1720	John Alroy	John Alroy	2016-01-12 20:52:43	M. Abi-Said, Z. S. Amr	2012	Camera trapping in assessing diversity of mammals in Jabal Moussa Biosphere Reserve, Lebanon	Vertebrate Zoology		62	1	145	152	article	English		one of several	
1721	John Alroy	John Alroy	2016-01-13 19:00:14	H. Samejima, R. Ong, P. Lagan, K. Kitayama	2012	Camera-trapping rates of mammals and birds in a Bornean tropical rainforest under sustainable forest management	Forest Ecology and Management		270		248	256	article	English	10.1016/j.foreco.2012.01.013	one of several	
1722	John Alroy	John Alroy	2016-01-13 19:33:30	S. Li, W. J. McShea, D. Wang, J. Huang, L. Shao	2012	A direct comparison of camera-trapping and sign transects for monitoring wildlife in the Wanglang National Nature Reserve, China	Wildlife Society Bulletin		36	3	538	545	article	English	10.1002/wsb.161	one of several	
1723	John Alroy	John Alroy	2016-01-13 19:59:04	M. Aranda, F. Botello, L. López-de Buen	2012	Diversidad y datos reproductivos de mamíferos medianos y grandes en el bosque mesófilo de montaña de la Reserva de la Biosfera Sierra de Manantlán, Jalisco-Colima, México	Revista Mexicana de Biodiversidad		83	3	778	784	article	Spanish	10.7550/rmb.24850	the only one	
1724	John Alroy	John Alroy	2016-01-13 20:25:30	M. J. Kelly, E. L. Holub	2008	Camera trapping of carnivores: trap success among camera types and across species, and habitat selection by species, on Salt Pond Mountain, Giles County, Virginia	Northeastern Naturalist		15	2	249	262	article	English	10.1656/1092-6194(2008)15[249:CTOCTS]2.0.CO;2	the only one	
1725	John Alroy	John Alroy	2016-01-13 20:41:08	D. Muñoz, J. Kapfer, C. Olfenbuttel	2014	Do available products to mask human scent influence camera trap survey results?	Wildlife Biology		20	4	246	252	article	English	10.2981/wlb.00003	all of them	
1726	John Alroy	John Alroy	2016-01-14 09:21:51	D. L. Chambers, J. A. Vance	2013	Camera trap success among carnivores and prey animals in Tazewell County, Virginia	Virginia Journal of Science		63		129	135	article	English		the only one	
1727	John Alroy	John Alroy	2016-01-14 09:43:47	M. N. McKinney, A. M. Haines	2010	Mammal capture success of scent stations and remote cameras in prairie and forest habitat	Journal of the Iowa Academy of Science		117	1-4	4	8	article	English		one of several	
1728	John Alroy	John Alroy	2016-01-14 09:56:38	M. T. Springer, A. D. Carver, C. K. Nielsen, N. J. Correa, J. R. Ashmore, J. R. Ashmore, J. G. Lee	2012	Relative abundance of mammalian species in a central Panamanian rainforest	Latin American Journal of Conservation		2	2	19	26	article	English		the only one	
1729	John Alroy	John Alroy	2016-01-14 10:16:29	M. Cortés-Marcial, M. Briones-Salas	2014	Diversidad, abundancia relativa y patrones de actividad de mamíferos medianos y grandes en una selva seca del Istmo de Tehuantepec, Oaxaca, México	Revista de Biologia Tropical		62	4	1433	1448	article	Spanish		a few	
1730	John Alroy	John Alroy	2016-01-14 10:51:36	A. D. Hernández-Saintmartín, O. C. Rosas-Rosas, J. Palacio-Núñez, L. A. Tarango-Arámbula, F. Clemente-Sánchez, A. L. Hoogesteijn	2013	Activity patterns of jaguar, puma and their potential prey in San Luis Potosi, Mexico	Acta Zoológica Mexicana		29	3	520	533	article	English		the only one	
1731	John Alroy	John Alroy	2016-01-14 11:16:38	D. J. Gonthier, F. E. Castañeda	2013	Large and medium-sized mammal survey using camera traps in the Sikre River in the Río Plátano Biosphere Reserve, Honduras	Tropical Conservation Science		6	4	584	591	article	English		the only one	
1732	John Alroy	John Alroy	2016-01-14 14:09:01	D. J. Paull, A. W. Claridge, R. B. Cunningham	2012	Effective detection methods for medium-sized ground-dwelling mammals: a comparison between infrared digital cameras and hair tunnels	Wildlife Research		39	6	546	553	article	English	10.1071/WR12034	one of several	
1733	John Alroy	John Alroy	2016-01-14 14:40:49	Y. Wang, D. O. Fisher	2012	Dingoes affect activity of feral cats, but do not exclude them from the habitat of an endangered macropod	Wildlife Research		39	7	611	620	article	English	10.1071/WR11210	the only one	
1734	John Alroy	John Alroy	2016-01-14 17:35:44	M. S. Di Bitetti, S. A. Albanesi, M. J. Foguet, C. De Angelo, A. D. Brown	2013	The effect of anthropic pressures and elevation on the large and medium-sized terrestrial mammals of the subtropical mountain forests (Yungas) of NW Argentina	Mammalian Biology		78	1	21	27	article	English	10.1016/j.mambio.2012.08.006	the only one	
1735	John Alroy	John Alroy	2016-01-14 19:51:37	B. Mugerwa, D. Sheil, P. Ssekiranda, M. van Heist, P. Ezuma	2012	A camera trap assessment of terrestrial vertebrates in Bwindi Impenetrable National Park, Uganda	African Journal of Ecology		51	1	21	31	article	English		the only one	
1736	John Alroy	John Alroy	2016-01-14 20:52:25	T.-B. Chen, Y.-H. Sung, P.-L. B. Chan, Y.-J. Meng, P.-H. Wan	2013	Influence of surface water availability on mammal distributions in Nonggang National Nature Reserve, Guangxi, China	Zoological Research		34	3	145	151	article	Chinese	10.11813/j.issn.0254-5853.2013.3.0145	the only one	
1737	John Alroy	John Alroy	2016-01-16 21:34:36	Y. Wang, Y. Wang, S. Tao, X. Chen, Y. Kong, A. Shah, C. Ye, M. Pang	2014	Using infra-red camera trapping technology to monitor mammals along Karakorum Highway in Khunjerab National Park, Pakistan	Pakistan Journal of Zoology		46	3	725	731	article	English		the only one	
