reference no	sample no	contributor	enterer	created	sample name	country	state	ecozone	region	land mass	latitude	longitude	altitude value	altitude unit	habitat	altered habitat	fragment size	protection	disturbance	sampling methods	MAT	CMT	WMT	MAP	nets or traps	net or trap nights	site area	basal area	mass per species (g)	mass per individual (g)	individuals	richness	singletons	dominance	top 2 species	Fisher's alpha	geometric series k	Shannon's H	Hurlbert's PIE	Good's u
855	1210	John Alroy	John Alroy	2015-02-16 09:38:39	Rintoul Creek Road	Australia	Victoria	Australasia		continent	-38.20	146.53			temperate broadleaf/mixed forest	secondary forest			selective logging	quadrat,baited,cage traps,Elliott traps	14.15	9.100	19.200	648.0	350	3202			2908.54	2908.54	1	1	1	1.000	1.000			0.0000	1.0000	0.0000
856	1216	John Alroy	John Alroy	2015-02-16 10:42:05	Bukit Bangkirai	Indonesia	East Kalimantan	Indomalaya		large oceanic island	-1.03	116.87	110	meters	tropical/subtropical moist broadleaf forest					no design,baited,Sherman traps,Tomahawk traps	28.000			2500.0		0			5950.51	5950.51	2	1	0	1.000	1.000			0.0000	1.0000	0.0000
861	1228	John Alroy	John Alroy	2015-02-16 12:52:58	Srinakarin Dam (cage traps)	Thailand	Kanchanaburi	Indomalaya		continent	14.41	99.13			tropical/subtropical dry broadleaf forest					line transect,cage traps	28.000	25.000	32.000	1150.0	40	0			2361.48	2361.48	1	1	1	1.000	1.000			0.0000	1.0000	0.0000
1003	1493	John Alroy	John Alroy	2015-03-07 17:17:55	Ahltener Wald (month 6)	Germany		Palearctic	Europe	continent	52.37	9.90			temperate broadleaf/mixed forest					quadrat,Sherman traps	9.600			661.0	320	0	0.250		77.53	77.53	1	1	1	1.000	1.000			0.0000	1.0000	0.0000
1600	1823	John Alroy	John Alroy	2015-12-12 17:05:03	Prince Albert Model Forest	Canada	Saskatchewan	Nearctic		continent	53.83	-105.83			boreal forest/taiga	fragment				line transect,baited,Havahart traps,Tomahawk traps	0.400			467.0		8172			77.53	77.53	5	1	0	1.000	1.000			0.0000	1.0000	0.0000
1620	1830	John Alroy	John Alroy	2015-12-16 10:59:33	Memphis	United States	Tennessee	Nearctic		continent	35.12	-89.97			temperate broadleaf/mixed forest	inhabited area		unprotected		line transect,quadrat,Sherman traps,Tomahawk traps	16.6	5.300	27.900	1430.0	2592	0			5409.60	5489.98	54	2	1	0.981	1.000		0.0189	0.0922	0.0182	0.9815
1621	1831	John Alroy	John Alroy	2015-12-16 11:41:40	Glenn Dale	United States	Maryland	Nearctic		continent	38.97	-76.80			temperate broadleaf/mixed forest	secondary forest				baited,Havahart traps,Sherman traps	14.9	2.700	27.100	997.0	118	0			143.63	143.63	3	1	0	1.000	1.000			0.0000	1.0000	0.0000
1633	1841	John Alroy	John Alroy	2015-12-19 10:34:32	Bald Range (old growth)	Canada	British Columbia	Nearctic		continent	49.67	-119.88	1470	meters	temperate coniferous forest					quadrat,baited,other traps	2.600			640.0	147	5733	3.000		120.96	120.96	6	1	0	1.000	1.000			0.0000	1.0000	0.0000
1692	1882	John Alroy	John Alroy	2016-01-05 20:26:31	Fazenda Sta Emília (acurí forest)	Brazil	Mato Grosso do Sul	Neotropic	South America	continent	-19.51	-55.61			tropical/subtropical dry broadleaf forest					no design,baited,automatic cameras	26.000			1250.0	6	141			10148.62	7888.67	20	4	1	0.650	0.800	1.504	0.4253	0.9989	0.5053	0.9500
1693	1883	John Alroy	John Alroy	2016-01-05 20:44:34	Merapoh	Malaysia		Indomalaya		continent	4.55	102.50	407	meters	tropical/subtropical moist broadleaf forest			national/state park	hunting	no design,automatic cameras	27.250			2500.0	47	4336	20000.000		10295.55	16964.47	394	14	4	0.287	0.530	2.833	0.6951	1.8548	0.8049	0.9899
1694	1884	John Alroy	John Alroy	2016-01-05 21:15:50	Jerangau Forest Reserve	Malaysia	Terengganu	Indomalaya		continent	4.93	103.10			tropical/subtropical moist broadleaf forest			forest reserve	selective logging	no design,automatic cameras	29.5	28.000	31.000	2800.0	24	5972			8072.65	26367.78	643	16	2	0.260	0.495	2.973	0.7109	2.0041	0.8261	0.9969
1695	1885	John Alroy	John Alroy	2016-01-06 17:15:01	Lambir Hills National Park (camera traps)	Malaysia	Sarawak	Indomalaya		large oceanic island	4.03	113.83			tropical/subtropical moist broadleaf forest			national/state park		no design,automatic cameras	27.000			2600.0	7	1127			5203.15	6281.29	30	4	2	0.833	0.933	1.240	0.3420	0.6089	0.2690	0.9333
1696	1886	John Alroy	John Alroy	2016-01-06 20:38:40	Planted Forest Zone	Malaysia	Sarawak	Indomalaya		large oceanic island	2.88	112.85			tropical/subtropical moist broadleaf forest	plantation				no design,baited,automatic cameras	27.000			2700.0	8	1632	400.000		3826.26	4886.71	14	7	4	0.357	0.571	5.571	0.7647	1.7298	0.7692	0.7249
1697	1888	John Alroy	John Alroy	2016-01-06 20:59:23	Savandurga State Forest (winter)	India	Karnataka	Indomalaya		continent	12.92	77.30			tropical/subtropical dry broadleaf forest			national/state forest		no design,baited,automatic cameras	25.000			800.0	2	10	2700.000		2361.48	2361.48	8	1	0	1.000	1.000			0.0000	1.0000	0.0000
1698	1889	John Alroy	John Alroy	2016-01-06 21:13:21	Caxiuanã National Forest (March)	Brazil	Pará	Neotropic	South America	continent	-1.71	-51.53			tropical/subtropical moist broadleaf forest			national/state forest		no design,automatic cameras	26.300			1865.0	12	372	7000.000		48721.38	48721.38	2	1	0	1.000	1.000			0.0000	1.0000	0.0000
1699	1890	John Alroy	John Alroy	2016-01-06 21:24:25	Fazenda Cauaia (camera trapping)	Brazil	Minas Gerais	Neotropic	South America	continent	-19.48	-44.02			tropical/subtropical savanna	pasture			hunting	baited,automatic cameras	22.500			1273.0	15	0	1760.000		8540.37	9059.39	88	7	1	0.511	0.705	1.787	0.5302	1.4317	0.6735	0.9889
1700	1891	John Alroy	John Alroy	2016-01-07 20:47:55	Nanzihshian (camera traps, April)	Taiwan		Indomalaya		medium-sized oceanic island	23.09	120.89	2406	meters	tropical/subtropical coniferous forest	secondary forest		national/state park		no design,automatic cameras	10	5.000	15.000	4192.0	25	731			764.49	958.64	7	2	1	0.857	1.000		0.1667	0.4101	0.1190	0.8571
1701	1892	John Alroy	John Alroy	2016-01-07 21:19:08	Estação Biológica de Santa Lúcia (primary forest)	Brazil	Espirito Santo	Neotropic	South America	continent	-19.97	-40.53	750	meters	tropical/subtropical moist broadleaf forest					no design,automatic cameras	19.900			1868.0	7	292	440.000		6581.54	7945.64	11	6	2	0.273	0.455	5.403	0.8027	1.7202	0.7909	0.8601
1702	1893	John Alroy	John Alroy	2016-01-07 21:49:22	Estrada do Porto (2005)	Brazil	Rio Grande do Sul	Neotropic	South America	continent	-27.17	-53.92			tropical/subtropical moist broadleaf forest					no design,automatic cameras	19	13.000	25.000	1600.0	4	402			5302.51	5509.55	137	6	0	0.270	0.489	1.282	0.7537	1.7010	0.8034	1.0000
1703	1895	John Alroy	John Alroy	2016-01-09 16:16:53	Los Amigos Conservation Concession (2006)	Peru		Neotropic	South America	continent	-12.55	-70.09	285	meters	tropical/subtropical moist broadleaf forest			other protected area		quadrat,automatic cameras	24.000			3000.0	39	2340	5000.000		8765.07	16806.36	111	9	2	0.333	0.613	2.313	0.6368	1.7237	0.7757	0.9821
1704	1896	John Alroy	John Alroy	2016-01-09 19:23:15	Mt. Ohdaigahara (eastern area)	Japan		Palearctic	East Asia	large oceanic island	34.11	136.03	1550	meters	temperate coniferous forest					no design,automatic cameras	6.000			4800.0	9	913			4732.26	4621.47	5	2	0	0.600	1.000		0.6667	0.6730	0.3500	1.0000
1705	1897	John Alroy	John Alroy	2016-01-09 19:44:55	Waterberg Plateau Park (surrounding flatlands)	Namibia		Afrotropic	Southern Africa	continent	-20.46	17.21			tropical/subtropical savanna				grazing,hunting	no design,automatic cameras	21.000	16.000	24.000	532.0	4	200			4931.35	3404.11	120	13	1	0.233	0.400	3.706	0.7575	2.1444	0.8536	0.9921
1705	1899	John Alroy	John Alroy	2016-01-09 20:03:13	Waterberg Plateau Park	Namibia		Afrotropic	Southern Africa	continent	-20.46	17.21			tropical/subtropical savanna					no design,automatic cameras	21.000	16.000	24.000	532.0	11	545			4388.15	4810.37	104	13	1	0.317	0.433	3.922	0.7472	2.2120	0.8471	0.9906
