species	life form	ecozones	regions	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	ear length	head and body length	hind foot length	skull length	skull width	tail length	total body length	upper tooth row length	diet 1	diet 2	diet source	home range	female range	male range	daily path length	daily movement	population density	home range habitat
Acinonyx jubatus	carnivore			14	2	7	0.0000	2	35.23	36.94	11.6	-20.5	17.2	-1.5	21.000	21.000	532.0	532.0	0.058824	0.030300	0.059251	0.059251	0.110169	0.000000	0.007878	VU	41580.0591599361	47	species	37438.135959893	20	44940.8533416948	27	75.4850978670625	1267.23383264255	291.861268413608	228.277117618931	139.371843409742	740.536308231108	2034.70394254905		carnivore		species	343.279257473402	284.89796419069	388.704623367163		4.60855371774801	0.009	tropical/subtropical savanna
Ailuropoda melanoleuca	carnivore			1844	3	1	1.0000	2	1.96	3.33	33.7	32.9	107.9	104.1	11.500	14.700	867.0	924.0	0.348056	0.107456	0.062500	0.211573	0.360646	0.360646	0.017503	EN	95800	7	species													browser		species	7.11555179961387	6.6	7.67137536560427		0.425		temperate broadleaf/mixed forest
Ailurus fulgens	carnivore			43	1			1			25.3	25.3	98.7	98.7					0.076377	0.076377	0.076377	0.076377	0.076377		0.002903	EN	5797.20374070157	5	species	5848.07660688538	2	5763.53459433103	3									browser		species	2.0128751670526	1.69409717469511	2.3916375628607		0.454929664893377		temperate broadleaf/mixed forest
Aonyx capensis	carnivore			11	2	6	0.0000	2	31.49	33.19	1.1	-29.3	29.9	16.0	20.5	20.5	975.0	975.0	0.008423	0.015630	0.027001	0.027001	0.049020	0.007984	0.001320	NT	14403.2591968189	10	species			14403.2591968189	10	30.4250981096117	806.632694568298	147.905664712322	136.404852156913		490.922339471022	1297.55503403932		invertivore	carnivore	species							
Aonyx cinereus	carnivore			5	1			1			3.6	3.6	102.5	102.5	25.800	25.800	2017.0	2017.0	0.060241	0.060241	0.060241	0.060241	0.060241		0.010460	VU	14403.2591968189		genus													invertivore		species							
Arctictis binturong	carnivore			50	15	36	0.3056	13	15.95	46.72	27.5	-0.4	117.5	96.6	19.750	29.5	2270.0	3960.0	0.011450	0.013740	0.013889	0.034915	0.060606	0.003864	0.000508	VU	10246.8080767063	13	species	10613.0638739461	3	10513.1546741691	8									frugivore		species	5.56698592713634	3.03163322319835	6.81712533432892		0.688		tropical/subtropical dry broadleaf forest,tropical/subtropical moist broadleaf forest
Arctogalidia trivirgata	carnivore			75	7	18	0.2222	6	9.23	21.52	5.3	-0.0	117.5	101.5	25.200	26.000	2017.0	4147.0	0.029002	0.031650	0.076046	0.137550	0.285714	0.013279	0.001153	LC	2222.61107708929	2	species			2222.61107708929	2									frugivore	carnivore	species	0.352851243444033		0.352851243444033				tropical/subtropical moist broadleaf forest
Arctonyx albogularis	carnivore			386	7	6	0.5000	6	8.07	18.57	33.7	27.9	118.2	104.1	11.000	15.850	867.0	1964.0	0.067060	0.206743	0.258929	0.323941	0.647059	0.061826	0.002675		8321.77821849189	57	species	8184.23887646045	32	8501.20664922719	25		644.652484587746		134.876541980241	76.0087751194174			45.1899605126779	invertivore		genus							
Arctonyx collaris	carnivore			61	7	11	0.3636	7	10.39	20.93	27.5	12.8	106.5	96.6	19.750	28.000	1500.0	3960.0	0.044331	0.029450	0.024324	0.042004	0.090659	0.023284	0.002889	NT	8321.77821849189		genus													invertivore		species							
Atelocynus microtis	carnivore			20	3	3	0.3333	3	4.91	7.77	-5.4	-12.6	-67.3	-70.1	24.000	27.100	3000.0	3679.0	0.119048	0.109779	0.076923	0.174825	0.272727	0.113208	0.003898	NT																									
