Acinonyx jubatus
Addax nasomaculatus
Aepyceros melampus
Ailuropoda melanoleuca
Ailurus fulgens
Alcelaphus buselaphus
Alces alces
Alopex lagopus
Alouatta guariba
Ammotragus lervia
Antidorcas marsupialis
Antilocapra americana
Antilope cervicapra
Aonyx capensis
Aonyx cinereus
Arctictis binturong
Arctogalidia trivirgata
Arctonyx collaris
Atelocynus microtis
Atilax paludinosus
Axis axis
Axis porcinus
Bassariscus astutus
Bdeogale crassicauda
Bison bison
Blastocerus dichotomus
Bos frontalis
Bos gaurus
Bos grunniens
Bos javanicus
Bos mutus
Bos sauveli
Bos taurus
Boselaphus tragocamelus
Bubalus arnee
Bubalus bubalis
Budorcas taxicolor
Cabassous tatouay
Cabassous unicinctus
Camelus dromedarius
Camelus ferus
Canis adustus
Canis aureus
Canis latrans
Canis lupus
Canis mesomelas
Capra aegagrus
Capra caucasica
Capra ibex
Capra nubiana
Capra pyrenaica
Capra sibirica
Capreolus capreolus
Capreolus pygargus
Capricornis rubidus
Capricornis sumatraensis
Capricornis swinhoei
Caracal aurata
Caracal caracal
Catagonus wagneri
Catopuma badia
Catopuma temminckii
Cephalophus adersi
Cephalophus callipygus
Cephalophus harveyi
Cephalophus leucogaster
Cephalophus natalensis
Cephalophus nigrifrons
Cephalophus rufilatus
Cephalophus silvicultor
Cephalophus spadix
Cephalophus weynsi
Ceratotherium simum
Cercopithecus albogularis
Cerdocyon thous
Cervus albirostris
Cervus canadensis
Cervus elaphus
Cervus eldii
Cervus hanglu
Cervus nippon
Cervus unicolor
Chaetophractus villosus
Chlorocebus aethiops
Chlorocebus pygerythrus
Chrysocyon brachyurus
Civettictis civetta
Conepatus amazonicus
Conepatus chinga
Conepatus leuconotus
Conepatus semistriatus
Connochaetes gnou
Connochaetes taurinus
Crocuta crocuta
Cuon alpinus
Cynictis penicillata
Cynogale bennettii
Dama dama
Dama mesopotamica
Damaliscus dorcas
Damaliscus lunatus
Damaliscus pygargus
Dasypus hybridus
Dasypus kappleri
Dasypus novemcinctus
Dendrohyrax arboreus
Dendrohyrax validus
Dendrolagus goodfellowi
Dicerorhinus sumatrensis
Diceros bicornis
Dicotyles tajacu
Diplogale hosei
Dorcatragus megalotis
Dorcopsulus macleayi
Eira barbara
Elaphodus cephalophus
Elephas maximus
Elaphurus davidianus
Equus africanus
Equus ferus
Equus grevyi
Equus hemionus
Equus kiang
Equus quagga
Equus zebra
Eudorcas rufifrons
Eudorcas thomsonii
Euphractus sexcinctus
Felis catus
Felis chaus
Felis lybica
Felis margarita
Felis nigripes
Felis silvestris
Galeopterus variegatus
Galerella pulverulenta
Galerella sanguinea
Galictis cuja
Galictis vittata
Gazella bennettii
Gazella cuvieri
Gazella dorcas
Gazella gazella
Gazella subgutturosa
Genetta angolensis
Genetta genetta
Genetta maculata
Genetta pardina
Genetta servalina
Genetta tigrina
Giraffa camelopardalis
Gorilla gorilla
Gulo gulo
Helarctos malayanus
Helogale parvula
Hemigalus derbyanus
Hemitragus jemlahicus
Herpailurus yagouaroundi
Herpestes brachyurus
Herpestes edwardsii
Herpestes ichneumon
Herpestes javanicus
Herpestes naso
Herpestes pulverulentus
Herpestes sanguineus
Herpestes semitorquatus
Herpestes smithii
Herpestes urva
Herpestes vitticollis
Heterohyrax brucei
Hippocamelus antisensis
Hippocamelus bisulcus
Hippopotamus amphibius
Hippotragus equinus
Hippotragus niger
Homo sapiens
Hyaena hyaena
Hydrictis maculicollis
Hydropotes inermis
Hyemoschus aquaticus
Hylobates lar
Hylochoerus meinertzhageni
Ichneumia albicauda
Ictonyx libycus
Ictonyx striatus
Kobus ellipsiprymnus
Kobus kob
Kobus leche
Lagorchestes conspicillatus
Lagorchestes hirsutus
Lagostrophus fasciatus
Lama glama
Lama guanicoe
Lasiorhinus latifrons
Leopardus colocolo
Leopardus emiliae
Leopardus geoffroyi
Leopardus guigna
Leopardus guttulus
Leopardus pardalis
Leopardus wiedii
Leptailurus serval
Litocranius walleri
Lontra canadensis
Lontra longicaudis
Loxodonta africana
Loxodonta cyclotis
Lutra lutra
Lutrogale perspicillata
Lycalopex culpaeus
Lycalopex griseus
Lycalopex gymnocercus
Lycalopex sechurae
Lycaon pictus
Lynx canadensis
Lynx lynx
Lynx pardinus
Lynx rufus
Macaca arctoides
Macaca assamensis
Macaca mulatta
Macaca nemestrina
Macaca sinica
Macrauchenia patachonica
Macropus fuliginosus
Macropus giganteus
Madoqua kirkii
Madoqua saltiana
Manis crassicaudata
Manis javanica
Manis pentadactyla
Martes americana
Martes caurina
Martes flavigula
Martes foina
Martes martes
Martes melampus
Martes zibellina
Mazama americana
Mazama gouazoubira
Mazama nana
Mazama nemorivaga
Mazama rufina
Mazama temama
Meles leucurus
Meles meles
Mellivora capensis
Melogale moschata
Melogale orientalis
Melursus ursinus
Mephitis macroura
Mephitis mephitis
Moschiola indica
Moschus berezovskii
Moschus moschiferus
Mungos gambianus
Mungos mungo
Muntiacus atherodes
Muntiacus crinifrons
Muntiacus gongshanensis
Muntiacus malabaricus
Muntiacus muntjak
Muntiacus putaoensis
Muntiacus reevesi
Muntiacus vaginalis
Mustela altaica
Mustela erminea
Mustela eversmanii
Mustela itatsi
Mustela kathiah
Mustela nivalis
Mustela putorius
Mustela sibirica
Mustela strigidorsa
Mydaus javanensis
Myrmecophaga tridactyla
Naemorhedus goral
Naemorhedus griseus
Nandinia binotata
Nanger dama
Nanger granti
Nanger soemmerringii
Nasua narica
Nasua nasua
Nasuella olivacea
Neofelis diardi
Neofelis nebulosa
Neogale frenata
Neogale vison
Nesotragus moschatus
Notamacropus agilis
Notamacropus dorsalis
Notamacropus eugenii
Notamacropus greyi
Notamacropus irma
Notamacropus parryi
Notamacropus rufogriseus
Nyctereutes procyonoides
Nycticebus javanicus
Odocoileus hemionus
Odocoileus virginianus
Onychogalea fraenata
Onychogalea unguifera
Oreamnos americanus
Oreotragus oreotragus
Orycteropus afer
Oryx beisa
Oryx dammah
Oryx gazella
Oryx leucoryx
Osphranter robustus
Osphranter rufus
Otocolobus manul
Otocyon megalotis
Otolemur crassicaudatus
Ourebia ourebi
Ovibos moschatus
Ovis ammon
Ovis aries
Ovis canadensis
Ovis dalli
Ovis gmelini
Ovis vignei
Ozotoceros bezoarticus
Paguma larvata
Pan troglodytes
Panthera leo
Panthera onca
Panthera pardus
Panthera tigris
Panthera uncia
Papio hamadryas
Papio ursinus
Paradoxurus hermaphroditus
Paradoxurus jerdoni
Paragalago zanzibaricus
Parahyaena brunnea
Pardofelis marmorata
Pekania pennanti
Pelea capreolus
Petrogale assimilis
Petrogale brachyotis
Petrogale concinna
Petrogale lateralis
Petrogale penicillata
Petrogale wilkinsi
Phacochoerus aethiopicus
Phacochoerus africanus
Phascolarctos cinereus
Phataginus tricuspis
Philantomba monticola
Piliocolobus kirkii
Pongo pygmaeus
Potamochoerus larvatus
Potamochoerus porcus
Potos flavus
Priodontes maximus
Prionailurus bengalensis
Prionailurus planiceps
Prionailurus rubiginosus
Prionailurus viverrinus
Prionodon linsang
Prionodon pardicolor
Procapra gutturosa
Procapra picticaudata
Procapra przewalskii
Procavia capensis
Procyon cancrivorus
Procyon lotor
Proteles cristata
Pseudois nayaur
Pudu mephistophiles
Pudu puda
Puma concolor
Pygathrix nemaeus
Rangifer tarandus
Raphicerus campestris
Raphicerus melanotis
Raphicerus sharpei
Redunca arundinum
Redunca fulvorufula
Redunca redunca
Rhinoceros sondaicus
Rhinoceros unicornis
Rupicapra pyrenaica
Rupicapra rupicapra
Rusa unicolor
Saiga tatarica
Saimiri sciureus
Sapajus nigritus
Sarcophilus harrisii
Semnopithecus entellus
Semnopithecus priam
Semnopithecus vetulus
Setonix brachyurus
Smutsia gigantea
Smutsia temminckii
Speothos venaticus
Spilogale gracilis
Spilogale putorius
Spilogale pygmaea
Suricata suricatta
Sus barbatus
Sus celebensis
