Aenocyon dirus
Antidorcas australis
Antidorcas bondi
Antifer ultra
Arctodus simus
Bison antiquus
Bison exiguus
Bison latifrons
Bison occidentalis
Bison priscus
Bootherium bombifrons
Bos baikalensis
Bos primigenius
Brachyprotoma obtusata
Bubalus mephistopheles
Camelops hesternus
Canis mosbachensis
Capromeryx furcifer
Capromeryx minor
Catonyx cuvieri
Cervalces scotti
Cervus grayi
Coelodonta antiquitatis
Conepatus robustus
Congruus kitcheneri
Cuvieronius hyodon
Cuvieronius tropicus
Damaliscus hypsodon
Damaliscus niro
Dasypus bellus
Dicerorhinus mercki
Diprotodon optatum
Doedicurus clavicaudatus
Dusicyon avus
Equus algericus
Equus capensis
Equus complicatus
Equus conversidens
Equus hydruntinus
Equus lambei
Equus leidyi
Equus mauritanicus
Equus mexicanus
Equus neogeus
Equus niobrarensis
Equus occidentalis
Equus ovodovi
Equus scotti
Eremotherium laurillardi
Eutatus seguini
Glossotherium robustum
Glossotherium tropicorum
Glyptodon clavipes
Glyptotherium floridanum
Haringtonhippus francisci
Hemiauchenia macrocephala
Hemiauchenia paradoxa
Hippidion principale
Hippidion saldiasi
Hippotragus leucophaeus
Holmesina occidentalis
Holmesina paulacoutoi
Holmesina septentrionalis
Homo neanderthalensis
Lagorchestes leporides
Lama gracilis
Lestodon armatus
Macaca anderssoni
Macropus ferragus
Macropus pearsoni
Macropus titan
Mammut americanum
Mammuthus columbi
Mammuthus primigenius
Megaloceros giganteus
Megalonyx jeffersonii
Megalotragus priscus
Megatherium americanum
Metasthenurus newtonae
Miracinonyx trumani
Mixotoxodon larensis
Murrayglossus hacketti
Mylodon darwinii
Mylohyus fossilis
Mylohyus nasutus
Nothrotheriops shastensis
Notiomastodon platensis
Nototherium inerme
Odocoileus lucasi
Odocoileus salinae
Onychogalea lunata
Pachyarmatherium brasiliense
Pachyarmatherium leiseyi
Palaeolama major
Palaeolama mirifica
Palaeoloxodon antiquus
Palaeoloxodon mnaidriensis
Palaeoloxodon naumanni
Palaeoloxodon recki
Palorchestes azael
Palorchestes parvus
Pampatherium humboldtii
Pampatherium typum
Panochthus greslebini
Panochthus tuberculatus
Panthera atrox
Panthera spelaea
Paramylodon harlani
Phascolarctos stirtoni
Phascolonus gigas
Platygonus compressus
Platygonus vetus
Procoptodon browneorum
Procoptodon gilli
Procoptodon rapha
Propraopus sulcatus
Protemnodon anak
Protemnodon brehus
Protemnodon roechus
Ramsayia magna
Rhinoceros sinensis
Rusingoryx atopocranion
Sarcophilus laniarius
Sclerocalyptus evidens
Sclerocalyptus heusseri
Simosthenurus gilli
Simosthenurus maddocki
Simosthenurus occidentalis
Simosthenurus pales
Sinomegaceros yabei
Smilodon fatalis
Smilodon populator
Spiroceros kiakhtensis
Stegodon orientalis
Stephanorhinus hemitoechus
Stephanorhinus kirchbergensis
Sthenurus andersoni
Sthenurus atlas
Sthenurus oreas
Sthenurus tindalei
Stockoceros onusrosagris
Sus xiaozhu
Syncerus antiquus
Tapirus augustus
Tapirus californicus
Tapirus copei
Tapirus sinensis
Tapirus veroensis
Thylacinus cynocephalus
Thylacoleo carnifex
Thylogale christenseni
Toxodon gracilis
Toxodon platensis
Troposodon minor
Tremarctos floridanus
Ursus deningeri
Ursus spelaeus
Vombatus hacketti
Xenorhinotherium bahiense
Zygomaturus trilobus
