reference no	sample no	contributor	enterer	created	sample name	country	state	ecozone	region	land mass	latitude	longitude	altitude value	altitude unit	habitat	altered habitat	fragment size	protection	disturbance	MAT	CMT	WMT	MAP	life form	genus	qualifier	species	subspecies	count	count 2	relative abundance	count per day	mass (g)	comments
1692	1882	John Alroy	John Alroy	2016-01-05 20:28:07	Fazenda Sta Emília (acurí forest)	Brazil	Mato Grosso do Sul	Neotropic	South America	continent	-19.506678	-55.613068			tropical/subtropical dry broadleaf forest					26.000			1250.0	carnivores	Cerdocyon		thous		3		0.150000	0.021277	5193.42360894336	
1692	1882	John Alroy	John Alroy	2016-01-05 20:28:07	Fazenda Sta Emília (acurí forest)	Brazil	Mato Grosso do Sul	Neotropic	South America	continent	-19.506678	-55.613068			tropical/subtropical dry broadleaf forest					26.000			1250.0	carnivores	Procyon		cancrivorus		3		0.150000	0.021277	4995.65057493072	
1692	1882	John Alroy	John Alroy	2016-01-05 20:28:07	Fazenda Sta Emília (acurí forest)	Brazil	Mato Grosso do Sul	Neotropic	South America	continent	-19.506678	-55.613068			tropical/subtropical dry broadleaf forest					26.000			1250.0	carnivores	Leopardus		pardalis		13		0.650000	0.092199	8391.9440719667	
1692	1882	John Alroy	John Alroy	2016-01-05 20:28:07	Fazenda Sta Emília (acurí forest)	Brazil	Mato Grosso do Sul	Neotropic	South America	continent	-19.506678	-55.613068			tropical/subtropical dry broadleaf forest					26.000			1250.0	carnivores	Puma		concolor		1		0.050000	0.007092	48721.3809905021	
1693	1883	John Alroy	John Alroy	2016-01-05 20:48:46	Merapoh	Malaysia		Indomalaya		continent	4.550010	102.500008	407	meters	tropical/subtropical moist broadleaf forest			national/state park	hunting	27.250			2500.0	carnivores	Cuon		alpinus		6		0.015228	0.001384	14290.2288521262	
1693	1883	John Alroy	John Alroy	2016-01-05 20:48:46	Merapoh	Malaysia		Indomalaya		continent	4.550010	102.500008	407	meters	tropical/subtropical moist broadleaf forest			national/state park	hunting	27.250			2500.0	carnivores	Helarctos		malayanus		96		0.243655	0.022140	32340.3560670398	
1693	1883	John Alroy	John Alroy	2016-01-05 20:48:46	Merapoh	Malaysia		Indomalaya		continent	4.550010	102.500008	407	meters	tropical/subtropical moist broadleaf forest			national/state park	hunting	27.250			2500.0	carnivores	Martes		flavigula		5		0.012690	0.001153	2812.66193139165	
1693	1883	John Alroy	John Alroy	2016-01-05 20:48:46	Merapoh	Malaysia		Indomalaya		continent	4.550010	102.500008	407	meters	tropical/subtropical moist broadleaf forest			national/state park	hunting	27.250			2500.0	carnivores	Viverra		tangalunga		61		0.154822	0.014068	5950.50689444383	
1693	1883	John Alroy	John Alroy	2016-01-05 20:48:46	Merapoh	Malaysia		Indomalaya		continent	4.550010	102.500008	407	meters	tropical/subtropical moist broadleaf forest			national/state park	hunting	27.250			2500.0	carnivores	Paradoxurus		hermaphroditus		1		0.002538	0.000231	2361.47544331922	
1693	1883	John Alroy	John Alroy	2016-01-05 20:48:46	Merapoh	Malaysia		Indomalaya		continent	4.550010	102.500008	407	meters	tropical/subtropical moist broadleaf forest			national/state park	hunting	27.250			2500.0	carnivores	Viverra		zibetha		2		0.005076	0.000461	8600.47432934556	
1693	1883	John Alroy	John Alroy	2016-01-05 20:48:46	Merapoh	Malaysia		Indomalaya		continent	4.550010	102.500008	407	meters	tropical/subtropical moist broadleaf forest			national/state park	hunting	27.250			2500.0	carnivores	Arctictis		binturong		1		0.002538	0.000231	10246.8080767063	
1693	1883	John Alroy	John Alroy	2016-01-05 20:48:46	Merapoh	Malaysia		Indomalaya		continent	4.550010	102.500008	407	meters	tropical/subtropical moist broadleaf forest			national/state park	hunting	27.250			2500.0	carnivores	Hemigalus		derbyanus		1		0.002538	0.000231		
1693	1883	John Alroy	John Alroy	2016-01-05 20:48:46	Merapoh	Malaysia		Indomalaya		continent	4.550010	102.500008	407	meters	tropical/subtropical moist broadleaf forest			national/state park	hunting	27.250			2500.0	carnivores	Panthera		tigris		22		0.055838	0.005074	167650.469997362	
1693	1883	John Alroy	John Alroy	2016-01-05 20:48:46	Merapoh	Malaysia		Indomalaya		continent	4.550010	102.500008	407	meters	tropical/subtropical moist broadleaf forest			national/state park	hunting	27.250			2500.0	carnivores	Panthera		pardus		113		0.286802	0.026061	32655.399798418	
