"species"	"species_name"	"abundance"	"IUCN.status"	"mass.g"	"home.range"	"density"	"extant"	"longevity"	"litter"	"loctype"	"diet.cat"	"shannon"	"simpson"
"Acinonyx jubatus"	"Acinonyx_jubatus"	0	"VU"	41580.05916	343.2792575	0.009	1	20.5	2.1	"sc"	"2"	0.379223065	0.035977187
"Aenocyon dirus"	"Canis_dirus"	0.063217	""	NA	NA	NA	0	NA	NA	"t"	NA	NA	NA
"Ailuropoda melanoleuca"	"Ailuropoda_melanoleuca"	NA	"EN"	95800	7.1155518	NA	1	36.8	1.5	"sc"	NA	NA	NA
"Aonyx capensis"	"Aonyx_capensis"	0.004902	"NT"	14403.2592	NA	NA	1	14.1	3	"a"	NA	NA	NA
"Arctictis binturong"	"Arctictis_binturong"	NA	"VU"	10246.80808	5.566985927	NA	1	NA	1.9	"a"	NA	NA	NA
"Arctodus simus"	"Arctodus_simus"	0	""	NA	NA	NA	0	NA	NA	"t"	NA	NA	NA
"Arctonyx collaris"	"Arctonyx_collaris"	0.071942	"NT"	NA	NA	NA	1	NA	3	"sf"	NA	NA	NA
"Atilax paludinosus"	"Atilax_paludinosus"	0.011811	"LC"	2804.394522	7.057225035	NA	1	NA	2.5	"a"	"3"	0.821119923	0.002107904
"Bassariscus astutus"	"Bassariscus_astutus"	0.168831	"LC"	948.6832981	3.500171424	NA	1	19	3	"sc"	"4"	0.730716908	0.007906807
"Brachyprotoma obtusata"	"Brachyprotoma_obtusata"	NA	""	NA	NA	NA	0	NA	NA	"t"	NA	NA	NA
"Canis adustus"	"Canis_adustus"	0.004484	"LC"	9796.958973	1.545	NA	1	18.8	4.3	"t"	NA	NA	NA
"Canis aureus"	"Canis_aureus"	0.061404	"LC"	9943.104382	0.194076446	NA	1	18.8	6	"t"	"3"	0.82504068	0.003115051
"Canis latrans"	"Canis_latrans"	0.011823	"LC"	11982.11516	26.69450756	0.0802	1	21.8	6	"t"	"2"	0.552321403	0.020856562
"Canis lupus"	"Canis_lupus"	0.075886	"LC"	43361.29745	17.15756843	0.111262675	1	20.6	6	"t"	"1"	0.70018341	0.011062935
"Canis mesomelas"	"Canis_mesomelas"	0.645188	"LC"	7863.462837	9.318998921	0.639	1	16.7	6	"t"	"2"	0.308607559	0.060780162
"Canis mosbachensis"	"Canis_mosbachensis"	NA	""	12701.15682	NA	NA	0	NA	NA	NA	NA	NA	NA
"Caracal caracal"	"Caracal_caracal"	0.018652	"LC"	11565.92431	12.26372731	0.18199906	1	NA	3	"sc"	"2"	0.129167012	0.106533962
"Cerdocyon thous"	"Cerdocyon_thous"	0	"LC"	5193.423609	5.107773257	0.78	1	NA	3.1	"t"	"3"	0.788344127	0.006049548
"Civettictis civetta"	"Civettictis_civetta"	0.024631	"LC"	13753.15057	0.778973684	NA	1	28	2.5	"t"	"1"	0.657539488	0.015291986
"Conepatus chinga"	"Conepatus_chinga"	0.03268	"LC"	1862.821191	0.843159707	NA	1	NA	NA	"sf"	"5"	0.471802958	0.030777408
"Conepatus leuconotus"	"Conepatus_leuconotus"	NA	"LC"	1862.821191	0.894000969	NA	1	NA	3	"t"	NA	NA	NA
"Conepatus robustus"	"Conepatus_robustus"	NA	""	1862.821191	NA	NA	0	NA	NA	"t"	NA	NA	NA
"Crocuta crocuta"	"Crocuta_crocuta"	0.110285	"LC"	65790.29608	91.92388155	0.031174233	1	41.1	2	"t"	"2"	0.079136945	0.133549868
"Cuon alpinus"	"Cuon_alpinus"	0.008221	"EN"	14290.22885	47.27374938	0.0662	1	16.1	5	"t"	"2"	0	1
"Cynictis penicillata"	"Cynictis_penicillata"	NA	"LC"	909.8137192	0.624350665	NA	1	15.2	2.3	"t"	NA	NA	NA
"Dusicyon avus"	"Dusicyon_avus"	NA	"EX"	NA	NA	NA	0	NA	NA	"t"	NA	NA	NA
"Felis catus"	"Felis_catus"	0.00033	""	2908.538329	2.016674183	NA	1	NA	NA	"sc"	NA	NA	NA
"Felis chaus"	"Felis_chaus"	0	"LC"	5347.199054	NA	NA	1	20	3	"sc"	NA	NA	NA
"Felis lybica"	"Felis_lybica"	0.066236	""	2908.538329	NA	NA	1	NA	NA	"sc"	"3"	0.625463651	0.012653357
"Felis margarita"	"Felis_margarita"	NA	"NT"	2908.538329	NA	NA	1	NA	3	NA	NA	NA	NA
"Felis nigripes"	"Felis_nigripes"	NA	"VU"	1620.741528	13.21302652	0.005	1	15.6	2	"sc"	NA	NA	NA
"Felis silvestris"	"Felis_silvestris"	0.014541	"LC"	4455.539525	10.15260665	0.114	1	19	3.3	"sc"	"2"	0.25201721	0.070037063
"Genetta genetta"	"Genetta_genetta"	NA	"LC"	1666.594479	2.984426055	0.071	1	22.7	2.5	"a"	"3"	0.492487419	0.021390411
"Genetta tigrina"	"Genetta_tigrina"	0.021127	"LC"	1699.769368	NA	NA	1	21.3	NA	"a"	"4"	1	0.000671554
"Gulo gulo"	"Gulo_gulo"	0.00063	"LC"	13179.1453	154.1884932	NA	1	19.5	2.8	"sc"	"2"	0.154332209	0.086550199
"Helarctos malayanus"	"Helarctos_malayanus"	0.015152	"VU"	32340.35607	13.50439002	NA	1	35.9	1.5	NA	NA	NA	NA
"Herpailurus yagouaroundi"	"Herpailurus_yagouaroundi"	NA	"LC"	5431.253469	19.01567206	1	1	NA	1.9	"sc"	"2"	0.48506417	0.028923933
"Herpestes ichneumon"	"Herpestes_ichneumon"	0.00236	"LC"	2859.056888	7.8	NA	1	NA	NA	"t"	"3"	0.875461199	0.002978267
